WAGNER,wagner-seahawks,Wagner
CLEM,clemson-tigers,Clemson
WMICH,western-michigan-broncos,W. Michigan
NILL,northern-illinois-huskies,N. Illinois
MICHST,michigan-state-spartans,Michigan St.
PITT,pittsburgh-panthers,Pittsburgh
NEBOM,nebraska-omaha-mavericks,Neb.-Omaha
MANH,manhattan-jaspers,Manhattan
UAB,uab-blazers,UAB
NCAT,north-carolina-at-aggies,NC A&amp;T
MIZZOU,missouri-tigers,Missouri
FIU,florida-international-golden-panthers,FIU
BYU,brigham-young-cougars,BYU
MRSHL,marshall-thundering-herd,Marshall
EVAN,evansville-aces,Evansville
WCAR,western-carolina-catamounts,W. Carolina
WILL,western-illinois-leathernecks,W. Illinois
RICH,richmond-spiders,Richmond
TOLEDO,toledo-rockets,Toledo
RICE,rice-owls,Rice
UOP,pacific-tigers,Pacific
UTVALL,utah-valley-wolverines,Utah Valley
GTOWN,georgetown-hoyas,Georgetown
UNC,north-carolina-tar-heels,North Carolina
DENVER,denver-pioneers,Denver
LSU,lsu-tigers,LSU
UVM,vermont-catamounts,Vermont
UVA,virginia-cavaliers,Virginia
LALAF,louisiana-ragin-cajuns,Louisiana
BGREEN,bowling-green-falcons,Bowling Green
KSTATE,kansas-state-wildcats,Kansas St.
FRESNO,fresno-state-bulldogs,Fresno St.
KENSAW,kennesaw-state-owls,Kennesaw St.
DTROIT,detroit-titans,Detroit
DRAKE,drake-bulldogs,Drake
UMKC,umkc-kangaroos,UMKC
GATECH,georgia-tech-yellow-jackets,Georgia Tech
MCNSE,mcneese-state-cowboys,McNeese St.
MD,maryland-terrapins,Maryland
TENN,tennessee-volunteers,Tennessee
CMICH,central-michigan-chippewas,C. Michigan
NDAK,north-dakota-fighting-hawks,North Dakota
VANDY,vanderbilt-commodores,Vanderbilt
UTAHST,utah-state-aggies,Utah St.
LOYCHI,loyolachicago-ramblers,Loyola-Chi.
IND,indiana-hoosiers,Indiana
MARYCA,saint-marys-gaels,Saint Mary&#039;s
SANFRAN,san-francisco-dons,San Fran.
SMU,smu-mustangs,SMU
UTAH,utah-utes,Utah
NORFLK,norfolk-state-spartans,Norfolk St.
EKY,eastern-kentucky-colonels,E. Kentucky
LAMAR,lamar-cardinals,Lamar
GWEBB,gardnerwebb-bulldogs,Gardner-Webb
PURDUE,purdue-boilermakers,Purdue
STETSON,stetson-hatters,Stetson
OHIOST,ohio-state-buckeyes,Ohio St.
MOUNT,mount-st-marys-mountaineers,Mt St Mary&#039;s
DELST,delaware-state-hornets,Delaware St.
PORTST,portland-state-vikings,Portland St.
GWASH,george-washington-colonials,George Wash.
LPSCMB,lipscomb-bisons,Lipscomb
BELMONT,belmont-bruins,Belmont
UCLA,ucla-bruins,UCLA
MORGAN,morgan-state-bears,Morgan St.
SC,south-carolina-gamecocks,South Carolina
MAINE,maine-black-bears,Maine
DUKE,duke-blue-devils,Duke
IOWAST,iowa-state-cyclones,Iowa St.
DAVID,davidson-wildcats,Davidson
TXAMCC,texas-amcorpus-christi-islanders,Texas A&amp;M-CC
CAN,canisius-golden-griffins,Canisius
CAL,california-golden-bears,California
WEBER,weber-state-wildcats,Weber St.
SEMO,southeast-missouri-state-redhawks,SE Missouri St.
WMMARY,william-mary-tribe,William &amp; Mary
UMES,marylandeastern-shore-hawks,Md.-E. Shore
NIAGARA,niagara-purple-eagles,Niagara
WINTHR,winthrop-eagles,Winthrop
FORD,fordham-rams,Fordham
TNTECH,tennessee-tech-golden-eagles,Tenn. Tech
NDAKST,north-dakota-state-bison,N. Dakota St.
NWEST,northwestern-wildcats,Northwestern
TULANE,tulane-green-wave,Tulane
CHATT,chattanooga-mocs,Chattanooga
BING,binghamton-bearcats,Binghamton
BAYLOR,baylor-bears,Baylor
GC,grand-canyon-antelopes,Grand Canyon
TXTECH,texas-tech-red-raiders,Texas Tech
HAMP,hampton-pirates,Hampton
CSFULL,cal-state-fullerton-titans,CSFullerton
AUBURN,auburn-tigers,Auburn
LIU,liubrooklyn-blackbirds,LIU-Brooklyn
MICH,michigan-wolverines,Michigan
UTEP,texasel-paso-miners,UTEP
KENTST,kent-state-golden-flashes,Kent St.
STFRAN,st-francis-ny-terriers,St. Fran.-NY
LNGBCH,long-beach-state-49ers,LBSU
MARIST,marist-red-foxes,Marist
OREG,oregon-ducks,Oregon
RADFRD,radford-highlanders,Radford
YALE,yale-bulldogs,Yale
OKLAST,oklahoma-state-cowboys,Oklahoma St.
RI,rhode-island-rams,Rhode Island
FGC,florida-gulf-coast-eagles,FGCU
PEPPER,pepperdine-waves,Pepperdine
HOUBP,houston-bap-huskies,Houston Bap.
LSALLE,la-salle-explorers,La Salle
ALAM,alabama-am-bulldogs,Alabama A&amp;M
MARQET,marquette-golden-eagles,Marquette
USCUP,south-carolina-upstate-spartans,SC Upstate
WASHST,washington-state-cougars,Washington St.
PRINCE,princeton-tigers,Princeton
