Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|90|65||Johnson and Wales
Nov 9, 2018|L|57|67||Texas St.
Nov 16, 2018|L|72 |77|OT|UMBC
Nov 18, 2018|W|65|62||South Dakota
Nov 19, 2018|L|62|69||High Point
Nov 24, 2018|L|56|93||Colorado
Nov 28, 2018|W|88|69||Missouri St.
Dec 1, 2018|L|69|82||Pacific
Dec 5, 2018|W|73|65||Denver
Dec 8, 2018|L|61|66||Army
Dec 22, 2018|L|50|71||Michigan
Dec 28, 2018|W|72|60||UC Riverside
Jan 2, 2019|L|58|65||New Mexico
Jan 5, 2019|L|62|79||Utah St.
Jan 8, 2019|L|64|87||Colorado St.
Jan 12, 2019|W|62|48||San Diego St
Jan 16, 2019|W|106|88||UNLV
Jan 19, 2019|L|52|67||Nevada
Jan 22, 2019|W|74|60||Boise St.
Jan 26, 2019|W|73|71 |OT|San Jose St.
Jan 30, 2019|L|51|66||San Diego St
Feb 2, 2019|L|53|85||Colorado St.
Feb 6, 2019|W|81|76||Wyoming
Feb 12, 2019|L|72|77||UNLV
Feb 16, 2019|L|62|76||Utah St.

Total Points For:|1685
Total Points Against:|1791
Average Points For:|67.4
Average Points Against:|71.64
Average Point Difference:|-4.24

Win Percentage:|40.0
