Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|70|50||
Nov 10, 2018|W|98|69||Youngstown St.
Nov 16, 2018|W|87|46||Chicago St.
Nov 19, 2018|L|69|72||Clemson
Nov 20, 2018|L|68|73||Illinois St.
Nov 21, 2018|W|61|49||St. Bona.
Nov 28, 2018|W|86|54||Alabama St.
Dec 1, 2018|W|71|59||Detroit
Dec 5, 2018|L|65|68||PFW
Dec 15, 2018|L|74|75||Marshall
Dec 18, 2018|W|82|60||Tennessee St.
Dec 22, 2018|L|62|68||Nevada
Dec 30, 2018|W|82|55||
Jan 5, 2019|W|56|48||W. Michigan
Jan 8, 2019|L|86 |88|OT|C. Michigan
Jan 12, 2019|L|56|73||N. Illinois
Jan 15, 2019|W|51|49||E. Michigan
Jan 19, 2019|L|61|68||Miami (Ohio)
Jan 22, 2019|W|70|67||C. Michigan
Jan 26, 2019|W|67|65||N. Illinois
Feb 2, 2019|W|65|53||Ohio
Feb 5, 2019|L|52|63||Toledo
Feb 8, 2019|W|72|53||Kent St.
Feb 12, 2019|L|70|76||Buffalo
Feb 16, 2019|L|56|57||Ball St.

Total Points For:|1737
Total Points Against:|1558
Average Points For:|69.48
Average Points Against:|62.32
Average Point Difference:|7.16

Win Percentage:|56.0
