Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|56|73||Tulsa
Nov 9, 2018|W|79|55||
Nov 16, 2018|L|54|79||Vanderbilt
Nov 18, 2018|L|48|79||Kent St.
Nov 23, 2018|L|54|76||Liberty
Nov 24, 2018|L|75|80||Savannah St.
Nov 26, 2018|L|65|88||Miss. State
Dec 1, 2018|W|103|66||
Dec 8, 2018|W|109|45||
Dec 9, 2018|W|75|45||
Dec 18, 2018|L|49|76||UAB
Dec 21, 2018|L|44|83||South Florida
Jan 5, 2019|L|70|87||Texas So.
Jan 7, 2019|L|54|57||Prairie View
Jan 12, 2019|L|52|59||Jackson St.
Jan 14, 2019|L|42|77||Grambling
Jan 19, 2019|W|63|57||Miss Valley St.
Jan 21, 2019|W|74|69||Ark.-Pine Bluff
Jan 26, 2019|L|59|74||Alabama St.
Jan 28, 2019|L|62|71||Alabama A&amp;M
Feb 2, 2019|W|76|64||Southern U.
Feb 9, 2019|W|66|52||Jackson St.
Feb 11, 2019|L|53|65||Grambling
Feb 16, 2019|L|68|76||Miss Valley St.
Feb 18, 2019|L|62|73||Ark.-Pine Bluff

Total Points For:|1612
Total Points Against:|1726
Average Points For:|64.48
Average Points Against:|69.04
Average Point Difference:|-4.56

Win Percentage:|32.0
