Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|125|62||Mars Hill
Nov 11, 2018|L|73|81||Alabama
Nov 15, 2018|L|70|92||Purdue
Nov 16, 2018|L|76|82||Wichita St.
Nov 18, 2018|L|86 |94|OT|Ball St.
Nov 26, 2018|W|91|64||Winston-Salem St.
Nov 30, 2018|L|81|83||East Carolina
Dec 4, 2018|W|100|86||Howard
Dec 8, 2018|W|82|73||NC Central
Dec 15, 2018|L|69|76||South Florida
Dec 18, 2018|L|73|83||Georgetown
Dec 20, 2018|W|99|60||
Dec 30, 2018|L|55|83||Saint Louis
Jan 3, 2019|L|73|79||South Alabama
Jan 5, 2019|L|85|89||Troy
Jan 10, 2019|L|72|82||UT-Arlington
Jan 12, 2019|L|69|70||Texas St.
Jan 19, 2019|L|72|89||Coastal Carolina
Jan 24, 2019|L|81 |82|OT|Arkansas St.
Jan 26, 2019|W|77|73||Little Rock
Jan 31, 2019|W|104|77||Louisiana
Feb 2, 2019|W|85|84||UL-Monroe
Feb 7, 2019|L|71|74||Texas St.
Feb 9, 2019|L|68|78||UT-Arlington
Feb 16, 2019|W|88|79||Coastal Carolina

Total Points For:|2025
Total Points Against:|1975
Average Points For:|81.0
Average Points Against:|79.0
Average Point Difference:|2.0

Win Percentage:|36.0
