Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|90|60||Houston Bap.
Nov 11, 2018|W|82|61||Cal Poly
Nov 14, 2018|W|79|46||UTEP
Nov 19, 2018|W|71|66||Iowa St.
Nov 20, 2018|L|74|91||Gonzaga
Nov 21, 2018|L|57|73||Auburn
Nov 29, 2018|W|100|70||Ga. Southern
Dec 2, 2018|W|76|72||Connecticut
Dec 6, 2018|W|80|69||Utah Valley
Dec 9, 2018|L|73|76||Alabama
Dec 15, 2018|L|49|58||Baylor
Dec 19, 2018|W|61|42||Montana
Dec 22, 2018|W|70|68||UC Davis
Jan 3, 2019|W|64|56||Colorado
Jan 5, 2019|W|84|81 |OT|Utah
Jan 9, 2019|W|75|70||Stanford
Jan 12, 2019|W|87|65||California
Jan 17, 2019|L|54|59||Oregon
Jan 19, 2019|W|82|71||Oregon St.
Jan 24, 2019|L|57|80||USC
Jan 26, 2019|L|69|90||UCLA
Jan 31, 2019|L|88 |95|OT|Arizona St.
Feb 7, 2019|L|60|67||Washington
Feb 9, 2019|L|55|69||Washington St.
Feb 14, 2019|L|76|83||Utah
Feb 17, 2019|L|60|67||Colorado

Total Points For:|1873
Total Points Against:|1805
Average Points For:|72.0384615385
Average Points Against:|69.4230769231
Average Point Difference:|2.61538461538

Win Percentage:|53.8461538462
