Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|102|94 |OT|CSFullerton
Nov 9, 2018|W|80|52||McNeese St.
Nov 12, 2018|W|90|58||LBSU
Nov 19, 2018|W|72|67||San Fran.
Nov 21, 2018|W|87|82||Miss. State
Nov 28, 2018|W|89|71||Utah St.
Dec 1, 2018|W|83|71||Neb.-Omaha
Dec 8, 2018|L|66|72||Texas So.
Dec 15, 2018|W|76|74||Nevada
Dec 17, 2018|L|65|81||Georgia
Dec 22, 2018|W|80|76||Vanderbilt
Dec 29, 2018|L|66|67||Kansas
Jan 3, 2019|L|86|96||Princeton
Jan 5, 2019|W|83|61||Utah
Jan 9, 2019|W|80|66||Colorado
Jan 12, 2019|L|71|85||California
Jan 17, 2019|W|70|67||Stanford
Jan 19, 2019|W|78|64||Oregon St.
Jan 24, 2019|W|84|73||Oregon
Jan 26, 2019|L|67|69||UCLA
Jan 31, 2019|W|95|88 |OT|USC
Feb 7, 2019|L|70|91||Arizona
Feb 9, 2019|W|75|63||Washington St.
Feb 13, 2019|L|73|77||Washington
Feb 16, 2019|W|98|87||Colorado

Total Points For:|1986
Total Points Against:|1852
Average Points For:|79.44
Average Points Against:|74.08
Average Point Difference:|5.36

Win Percentage:|68.0
