Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|71 |73|OT|Texas
Nov 12, 2018|W|81|58||UC Davis
Nov 18, 2018|W|73|72||Indiana
Nov 21, 2018|W|90|68||Montana St.
Nov 23, 2018|W|78|60||UT-Arlington
Dec 1, 2018|W|121|89||FIU
Dec 5, 2018|W|98|74||Colorado St.
Dec 8, 2018|L|77|78||W. Kentucky
Dec 15, 2018|W|79|67||UT-San Antonio
Dec 19, 2018|L|65|69||Georgia Tech
Dec 22, 2018|W|73|70||Texas St.
Dec 28, 2018|W|76|65||Austin Peay
Jan 5, 2019|W|73|71||Texas A&amp;M
Jan 9, 2019|L|51|57||Florida
Jan 12, 2019|L|88 |94|OT|LSU
Jan 15, 2019|L|87|106||Tennessee
Jan 19, 2019|L|67|84||Ole Miss
Jan 23, 2019|W|72|60||Missouri
Jan 26, 2019|L|64|67||Texas Tech
Jan 29, 2019|W|70|60||Georgia
Feb 2, 2019|W|90|89||LSU
Feb 5, 2019|W|69|66||Vanderbilt
Feb 9, 2019|L|65|77||South Carolina
Feb 12, 2019|L|78|79||Missouri
Feb 16, 2019|L|67|77||Miss. State

Total Points For:|1923
Total Points Against:|1830
Average Points For:|76.92
Average Points Against:|73.2
Average Point Difference:|3.72

Win Percentage:|56.0
