Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|101|92||SE Okla. State
Nov 13, 2018|W|83|67||Tennessee St.
Nov 16, 2018|L|59|87||Nevada
Nov 19, 2018|L|78|88||Tulsa
Nov 23, 2018|W|97|76||Howard
Nov 24, 2018|L|66|75||Ark.-Pine Bluff
Nov 28, 2018|L|65|78||Cent. Arkansas
Dec 1, 2018|W|79|52||Sam Houston
Dec 4, 2018|L|62|68||Bradley
Dec 8, 2018|L|82|85||Cent. Arkansas
Dec 11, 2018|W|67|47||Miles Coll.
Dec 19, 2018|L|89|99||Memphis
Dec 22, 2018|L|94 |102|OT|Georgetown
Jan 3, 2019|L|84|97||UL-Monroe
Jan 5, 2019|L|61|75||Louisiana
Jan 10, 2019|W|73|59||Troy
Jan 12, 2019|W|91|62||South Alabama
Jan 17, 2019|L|62|80||Texas St.
Jan 19, 2019|L|73|82||UT-Arlington
Jan 24, 2019|L|71|72||Coastal Carolina
Jan 26, 2019|L|73|77||App. St.
Feb 2, 2019|L|83|84||Arkansas St.
Feb 7, 2019|W|84|70||Troy
Feb 9, 2019|W|73|68||South Alabama
Feb 14, 2019|W|56|52||UT-Arlington
Feb 16, 2019|L|60|67||Texas St.

Total Points For:|1966
Total Points Against:|1961
Average Points For:|75.6153846154
Average Points Against:|75.4230769231
Average Point Difference:|0.192307692308

Win Percentage:|38.4615384615
