Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|73|94||Abil Christian
Nov 12, 2018|W|89|54||
Nov 16, 2018|L|72|96||Grand Canyon
Nov 23, 2018|L|64|78||UNC-Wilm.
Nov 24, 2018|L|86 |90|OT|E. Illinois
Nov 25, 2018|W|77|69||Gardner-Webb
Dec 1, 2018|L|70|82||Lehigh
Dec 4, 2018|W|87|77||Evansville
Dec 8, 2018|L|56|72||Minnesota
Dec 14, 2018|W|75|71 |OT|FAU
Dec 18, 2018|W|71|63||Missouri St.
Dec 22, 2018|L|52|82||Syracuse
Dec 29, 2018|W|87|62||Harding
Jan 3, 2019|W|94|83||Louisiana
Jan 5, 2019|L|75|85||UL-Monroe
Jan 10, 2019|W|66|65||South Alabama
Jan 12, 2019|L|85 |90|OT|Troy
Jan 17, 2019|L|59|68||UT-Arlington
Jan 19, 2019|L|64|77||Texas St.
Jan 24, 2019|W|82|81 |OT|App. St.
Jan 26, 2019|L|64|77||Coastal Carolina
Feb 2, 2019|W|84|83||Little Rock
Feb 7, 2019|L|62|70||South Alabama
Feb 9, 2019|L|79|84||Troy
Feb 14, 2019|L|74|84||Texas St.
Feb 16, 2019|W|83|79||UT-Arlington

Total Points For:|1930
Total Points Against:|2016
Average Points For:|74.2307692308
Average Points Against:|77.5384615385
Average Point Difference:|-3.30769230769

Win Percentage:|42.3076923077
