Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|101|58||South Alabama
Nov 9, 2018|W|88|66||Washington
Nov 14, 2018|W|103|52||
Nov 19, 2018|W|88|79 |OT|Xavier
Nov 20, 2018|L|72|78||Duke
Nov 21, 2018|W|73|57||Arizona
Nov 28, 2018|W|99|49||St. Peter&#039;s
Dec 4, 2018|W|67|41||UNC-Ash.
Dec 8, 2018|W|82|72||Dayton
Dec 15, 2018|W|75|71 |OT|UAB
Dec 19, 2018|L|71|78||NC State
Dec 22, 2018|W|93|88||Murray St.
Dec 29, 2018|W|95|49||North Florida
Jan 9, 2019|L|67|82||Ole Miss
Jan 12, 2019|W|93|78||Georgia
Jan 16, 2019|W|85|66||Texas A&amp;M
Jan 19, 2019|L|80|82||Kentucky
Jan 22, 2019|L|77|80||South Carolina
Jan 26, 2019|L|84|92||Miss. State
Jan 30, 2019|W|92|58||Missouri
Feb 2, 2019|W|84|63||Alabama
Feb 5, 2019|W|76|62||Florida
Feb 9, 2019|L|78|83||LSU
Feb 13, 2019|L|55|60||Ole Miss
Feb 16, 2019|W|64|53||Vanderbilt

Total Points For:|2042
Total Points Against:|1697
Average Points For:|81.68
Average Points Against:|67.88
Average Point Difference:|13.8

Win Percentage:|68.0
