Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|69||Indiana St.
Nov 10, 2018|L|75|84||Purdue
Nov 15, 2018|L|64|73||Virginia Tech
Nov 16, 2018|L|61|79||Alabama
Nov 18, 2018|W|94|86 |OT|App. St.
Nov 24, 2018|W|82|72||Evansville
Nov 27, 2018|W|108|62||Tiffin
Dec 1, 2018|W|85|75||IUPUI
Dec 5, 2018|W|75|69||Loyola-Chi.
Dec 9, 2018|L|77|89||Evansville
Dec 17, 2018|W|77|61||Valparaiso
Dec 20, 2018|W|98|71||Howard
Dec 29, 2018|W|116|57||Delaware St.
Jan 4, 2019|W|79|64||Toledo
Jan 8, 2019|L|82 |84|OT|E. Michigan
Jan 12, 2019|L|52|70||Ohio
Jan 15, 2019|L|78|79||Bowling Green
Jan 19, 2019|W|83|72||C. Michigan
Jan 22, 2019|L|65|71||Miami (Ohio)
Jan 26, 2019|L|74|78||Ohio
Jan 29, 2019|L|59|83||Buffalo
Feb 2, 2019|L|80 |83|OT|Kent St.
Feb 5, 2019|W|72|71||N. Illinois
Feb 9, 2019|W|79|59||W. Michigan
Feb 16, 2019|W|57|56||Akron

Total Points For:|1958
Total Points Against:|1817
Average Points For:|78.32
Average Points Against:|72.68
Average Point Difference:|5.64

Win Percentage:|56.0
