Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|82|62||Southern U.
Nov 11, 2018|W|81|73||App. St.
Nov 15, 2018|L|52|68||Northeastern
Nov 16, 2018|W|79|61||Ball St.
Nov 18, 2018|W|90|86||Wichita St.
Nov 26, 2018|W|78|72||Murray St.
Nov 29, 2018|L|64|70||UCF
Dec 4, 2018|L|80|83||Georgia St.
Dec 9, 2018|W|76|73||Arizona
Dec 18, 2018|W|84|75||Liberty
Dec 21, 2018|W|73|64||Penn St.
Dec 30, 2018|W|79|69||SF Austin
Jan 5, 2019|W|77|75||Kentucky
Jan 8, 2019|L|79|88||LSU
Jan 12, 2019|L|80|81||Texas A&amp;M
Jan 16, 2019|W|70|60||Missouri
Jan 19, 2019|L|68|71||Tennessee
Jan 22, 2019|W|74|53||Ole Miss
Jan 26, 2019|L|68|73||Baylor
Jan 29, 2019|W|83|79||Miss. State
Feb 2, 2019|L|63|84||Auburn
Feb 6, 2019|W|89|74||Georgia
Feb 9, 2019|W|77|67||Vanderbilt
Feb 12, 2019|L|62|81||Miss. State
Feb 16, 2019|L|53|71||Florida

Total Points For:|1861
Total Points Against:|1813
Average Points For:|74.44
Average Points Against:|72.52
Average Point Difference:|1.92

Win Percentage:|60.0
