Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|69|72||Texas So.
Nov 10, 2018|W|80|53||Southern U.
Nov 12, 2018|W|91|80||Prairie View
Nov 16, 2018|W|81|54||Nicholls St.
Nov 23, 2018|L|70|78||Ole Miss
Nov 24, 2018|W|72|61||George Mason
Nov 27, 2018|W|63|57||South Dakota
Dec 1, 2018|L|63|71||Wichita St.
Dec 15, 2018|W|58|49||Arizona
Dec 18, 2018|L|58|59||SF Austin
Dec 21, 2018|W|57|47||Oregon
Dec 29, 2018|W|84|44||New Orleans
Jan 5, 2019|L|81|85||TCU
Jan 8, 2019|W|73|70||Iowa St.
Jan 12, 2019|L|68|73||Kansas
Jan 14, 2019|W|73|69||Oklahoma St.
Jan 19, 2019|W|73|62||Texas Tech
Jan 21, 2019|W|85|73||West Virginia
Jan 26, 2019|W|73|68||Alabama
Jan 28, 2019|W|77|47||Oklahoma
Feb 2, 2019|W|90|64||TCU
Feb 6, 2019|L|72|84||Texas
Feb 9, 2019|L|63|70||Kansas St.
Feb 11, 2019|W|59|53||Oklahoma
Feb 16, 2019|L|61|86||Texas Tech

Total Points For:|1794
Total Points Against:|1629
Average Points For:|71.76
Average Points Against:|65.16
Average Point Difference:|6.6

Win Percentage:|64.0
