Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|73|53||Milwaukee
Nov 11, 2018|W|74|69||St. Fran.-NY
Nov 14, 2018|L|69|76||IUPUI
Nov 19, 2018|W|88|76||Wyoming
Nov 21, 2018|W|78|66||Loyola-Chi.
Nov 26, 2018|W|68|56||Minnesota
Nov 29, 2018|W|81|73||Sacred Heart
Dec 4, 2018|L|95 |100|OT|Providence
Dec 12, 2018|W|82|73||Texas A&amp;M
Dec 16, 2018|W|77|67||Columbia
Dec 22, 2018|W|65|62||Fairfield
Dec 31, 2018|L|78 |79|OT|DePaul
Jan 5, 2019|L|66|77||Hartford
Jan 9, 2019|L|56|83||Virginia Tech
Jan 12, 2019|L|66|69||Virginia
Jan 16, 2019|L|70|80||Notre Dame
Jan 20, 2019|W|87|82||Louisville
Jan 26, 2019|W|65|61||Florida St.
Jan 30, 2019|L|71|77||Wake Forest
Feb 2, 2019|L|73|79||Syracuse
Feb 5, 2019|L|55|80||Notre Dame
Feb 9, 2019|L|56|67||Duke
Feb 12, 2019|W|66|57||Syracuse
Feb 17, 2019|W|64|57||Pittsburgh

Total Points For:|1723
Total Points Against:|1719
Average Points For:|71.7916666667
Average Points Against:|71.625
Average Point Difference:|0.166666666667

Win Percentage:|54.1666666667
