Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|100|89||Illinois St.
Nov 12, 2018|W|92|73||Middle Tenn.
Nov 15, 2018|W|87|83||Lipscomb
Nov 20, 2018|W|104|50||
Nov 24, 2018|W|91|53||Kennesaw St.
Nov 29, 2018|W|99|93 |OT|Samford
Dec 1, 2018|L|92|100||Green Bay
Dec 4, 2018|W|76|74||Lipscomb
Dec 15, 2018|W|74|72||UCLA
Dec 19, 2018|W|80|74||W. Kentucky
Dec 29, 2018|L|62|73||Purdue
Jan 3, 2019|L|73|83||Jax. State
Jan 5, 2019|W|79|67||Tenn. Tech
Jan 10, 2019|W|77|60||Morehead St.
Jan 12, 2019|W|109|93||E. Kentucky
Jan 17, 2019|L|80 |91|OT|Jax. State
Jan 19, 2019|W|92|74||Tennessee St.
Jan 24, 2019|W|79|66||Murray St.
Jan 26, 2019|W|96|92||Austin Peay
Jan 31, 2019|W|97|71||SE Missouri St.
Feb 2, 2019|W|82|67||UT Martin
Feb 7, 2019|W|83|65||E. Kentucky
Feb 9, 2019|W|96|86||Morehead St.
Feb 14, 2019|W|77|66||Tennessee St.
Feb 16, 2019|W|93|65||Tenn. Tech

Total Points For:|2170
Total Points Against:|1880
Average Points For:|86.8
Average Points Against:|75.2
Average Point Difference:|11.6

Win Percentage:|84.0
