Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|91|52||Tiffin
Nov 9, 2018|L|80|84||St. John&#039;s
Nov 12, 2018|L|61|72||VCU
Nov 15, 2018|W|75|60||NC Central
Nov 19, 2018|W|81|79||Hampton
Nov 20, 2018|L|67|82||Detroit
Nov 25, 2018|W|81|71||Drexel
Dec 1, 2018|L|63|76||Hartford
Dec 5, 2018|L|64|82||Clev. St.
Dec 8, 2018|W|97|68||Green Bay
Dec 16, 2018|W|82|57||Findley
Dec 21, 2018|W|73|52||W. Carolina
Dec 30, 2018|W|94|80||UT Martin
Jan 5, 2019|W|86|64||Kent St.
Jan 8, 2019|W|82|63||Ohio
Jan 12, 2019|W|97|87 |OT|C. Michigan
Jan 15, 2019|W|79|78||Ball St.
Jan 19, 2019|W|79|48||W. Michigan
Jan 22, 2019|W|80|67||E. Michigan
Jan 26, 2019|L|53|67||Miami (Ohio)
Feb 1, 2019|W|92|88||Buffalo
Feb 5, 2019|W|85|72||W. Michigan
Feb 9, 2019|L|71|78||Toledo
Feb 12, 2019|W|79|72||C. Michigan
Feb 16, 2019|W|87|67||N. Illinois

Total Points For:|1979
Total Points Against:|1766
Average Points For:|79.16
Average Points Against:|70.64
Average Point Difference:|8.52

Win Percentage:|72.0
