Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|75|86||Cornell
Nov 9, 2018|L|57|74||N.J. Tech
Nov 12, 2018|W|107|64||Misericordia
Nov 16, 2018|L|54|82||Northwestern
Nov 19, 2018|L|68|76||Colgate
Nov 24, 2018|W|78|73||Sacred Heart
Nov 28, 2018|L|56|67||Army
Dec 1, 2018|W|89|70||Hartwick
Dec 5, 2018|L|68|74||Morgan St.
Dec 8, 2018|L|65|83||Loyola-Md.
Dec 15, 2018|L|48|58||Youngstown St.
Dec 18, 2018|L|56|69||Notre Dame
Dec 21, 2018|W|68|67||LIU-Brooklyn
Dec 30, 2018|L|52|74||Michigan
Jan 2, 2019|L|63|65||Columbia
Jan 5, 2019|W|69|58||New Hamp.
Jan 9, 2019|L|46|59||Stony Brook
Jan 16, 2019|L|49|68||UMBC
Jan 19, 2019|L|50|78||Vermont
Jan 23, 2019|L|79|85||UMass Lowell
Jan 26, 2019|W|78|66||Maine
Jan 30, 2019|L|60|86||Hartford
Feb 2, 2019|L|50|64||Albany
Feb 6, 2019|L|59|85||Stony Brook
Feb 9, 2019|W|68|61||New Hamp.
Feb 13, 2019|L|50|64||UMBC

Total Points For:|1662
Total Points Against:|1856
Average Points For:|63.9230769231
Average Points Against:|71.3846153846
Average Point Difference:|-7.46153846154

Win Percentage:|26.9230769231
