Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|74|58||Wisc.-Parkside
Nov 10, 2018|W|68|57||SE Missouri St.
Nov 14, 2018|W|74|65||Jax. State
Nov 17, 2018|L|70|71||Ill.-Chicago
Nov 20, 2018|W|75|62||SMU
Nov 21, 2018|W|59|56||Penn St.
Nov 24, 2018|W|86|70||Chicago St.
Nov 28, 2018|L|73|85||IUPUI
Dec 1, 2018|L|75|85||New Mexico
Dec 4, 2018|W|68|62||Little Rock
Dec 15, 2018|L|66|73||E. Illinois
Dec 18, 2018|L|74 |79|OT|Ga. Southern
Dec 22, 2018|W|63|60||SE Louisiana
Jan 2, 2019|L|47|65||Northern Iowa
Jan 5, 2019|L|60|65||Indiana St.
Jan 8, 2019|L|50|61||Valparaiso
Jan 12, 2019|L|64|69||Missouri St.
Jan 16, 2019|L|52|69||Drake
Jan 20, 2019|W|57|54||S. Illinois
Jan 23, 2019|W|85|68||Illinois St.
Jan 26, 2019|L|37|55||Missouri St.
Jan 30, 2019|W|81|73||Evansville
Feb 2, 2019|L|68|72||S. Illinois
Feb 6, 2019|W|79|71||Northern Iowa
Feb 9, 2019|W|96|67||Indiana St.
Feb 13, 2019|W|61|54||Loyola-Chi.
Feb 16, 2019|W|65|59||Illinois St.

Total Points For:|1827
Total Points Against:|1785
Average Points For:|67.6666666667
Average Points Against:|66.1111111111
Average Point Difference:|1.55555555556

Win Percentage:|55.5555555556
