Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|81|83||LIU-Brooklyn
Nov 11, 2018|L|60|63||N.J. Tech
Nov 16, 2018|W|82|74||UMass Lowell
Nov 17, 2018|W|82|77||Sacred Heart
Nov 18, 2018|W|86|66||Army
Nov 21, 2018|W|96|64||
Nov 25, 2018|W|84|60||Bryant
Nov 28, 2018|L|51|71||Rhode Island
Dec 1, 2018|W|67|50||Navy
Dec 5, 2018|L|55|70||Butler
Dec 8, 2018|W|71|69||Stony Brook
Dec 22, 2018|W|78|53||Marist
Dec 29, 2018|W|82|61||San Diego St
Jan 2, 2019|W|75|67||Maine
Jan 8, 2019|W|97|90 |OT|Canisius
Jan 14, 2019|W|100|61||
Jan 19, 2019|L|67|70||Yale
Jan 25, 2019|L|71|79||Yale
Feb 1, 2019|W|60|58||Dartmouth
Feb 2, 2019|L|47|68||Harvard
Feb 8, 2019|L|82|92||Penn
Feb 9, 2019|W|78|70||Princeton
Feb 15, 2019|L|66 |70|OT|Cornell
Feb 16, 2019|W|65|63||Columbia

Total Points For:|1783
Total Points Against:|1649
Average Points For:|74.2916666667
Average Points Against:|68.7083333333
Average Point Difference:|5.58333333333

Win Percentage:|62.5
