Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|63|97||Rhode Island
Nov 11, 2018|L|59|82||Seattle
Nov 14, 2018|W|71|63||St. Peter&#039;s
Nov 18, 2018|L|79|83||Navy
Nov 25, 2018|L|60|84||Brown
Nov 28, 2018|L|61|103||Yale
Dec 1, 2018|W|75|65||New Hamp.
Dec 7, 2018|L|68|90||Columbia
Dec 12, 2018|L|74|91||Hartford
Dec 21, 2018|W|68|67||Dartmouth
Dec 29, 2018|L|67|72||Iowa
Jan 3, 2019|W|76|66||St. Fran.-NY
Jan 5, 2019|L|70|79||LIU-Brooklyn
Jan 10, 2019|W|66|59||Mt St Mary&#039;s
Jan 12, 2019|L|70|98||Sacred Heart
Jan 19, 2019|L|65|79||Robert Morris
Jan 21, 2019|W|76|67||St. Fran.-Pa.
Jan 24, 2019|W|63|60||CCSU
Jan 26, 2019|L|63|78||F. Dickinson
Jan 31, 2019|W|71|64||Wagner
Feb 2, 2019|L|59|64||CCSU
Feb 7, 2019|L|59|72||Robert Morris
Feb 9, 2019|L|75|84||St. Fran.-Pa.
Feb 14, 2019|L|104|105||Sacred Heart
Feb 16, 2019|L|84|97||F. Dickinson

Total Points For:|1746
Total Points Against:|1969
Average Points For:|69.84
Average Points Against:|78.76
Average Point Difference:|-8.92

Win Percentage:|32.0
