Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|77|74||Northeastern
Nov 9, 2018|L|72|78||Vermont
Nov 11, 2018|W|94|57||Emerson
Nov 14, 2018|W|71|61||Albany
Nov 17, 2018|L|62|80||E. Michigan
Nov 21, 2018|L|67|86||Drexel
Nov 23, 2018|L|44|54||Rutgers
Nov 28, 2018|W|82|53||New Hamp.
Dec 1, 2018|W|65|58||Elon
Dec 4, 2018|W|79|60||UMass Lowell
Dec 13, 2018|L|68|78||Dartmouth
Dec 15, 2018|W|75|63||Nicholls St.
Dec 21, 2018|L|66|74||Bethune-Cook.
Jan 2, 2019|L|74|86||American
Jan 5, 2019|W|87|80||Bucknell
Jan 9, 2019|L|82|86||Army
Jan 12, 2019|W|75|69||Navy
Jan 16, 2019|L|73 |81|OT|Loyola-Md.
Jan 19, 2019|L|56|77||Colgate
Jan 23, 2019|L|66|70||American
Jan 26, 2019|L|78|94||American
Jan 30, 2019|W|68|54||Lehigh
Feb 2, 2019|W|76|68||Holy Cross
Feb 6, 2019|L|72|79||Colgate
Feb 9, 2019|L|76|82||Lafayette
Feb 13, 2019|L|61|71||Bucknell
Feb 16, 2019|L|79|84||Army
Feb 18, 2019|W|70|60||Lehigh

Total Points For:|2015
Total Points Against:|2017
Average Points For:|71.9642857143
Average Points Against:|72.0357142857
Average Point Difference:|-0.0714285714286

Win Percentage:|42.8571428571
