Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|88|85 |OT|St. Bona.
Nov 10, 2018|L|58|60||Fairfield
Nov 13, 2018|L|73|82||Canisius
Nov 25, 2018|W|69|61||Vermont
Nov 28, 2018|L|78|96||Northeastern
Dec 1, 2018|W|65|43||Monmouth
Dec 4, 2018|W|92|79||La Salle
Dec 15, 2018|L|71|73||Ohio St.
Dec 19, 2018|L|56|85||Saint Mary&#039;s
Dec 22, 2018|W|84|82||Rhode Island
Dec 23, 2018|L|65|82||TCU
Dec 25, 2018|W|97|72||UNLV
Jan 2, 2019|W|64|63||Army
Jan 5, 2019|L|80|87||Boston U.
Jan 9, 2019|W|84|81||Colgate
Jan 12, 2019|W|55|54||American
Jan 14, 2019|W|93|78||Holy Cross
Jan 19, 2019|W|85|83||Lehigh
Jan 23, 2019|W|71|68||Loyola-Md.
Jan 26, 2019|L|68|76||American
Jan 30, 2019|W|69|57||Navy
Feb 2, 2019|W|94|66||Lafayette
Feb 6, 2019|W|84|72||Loyola-Md.
Feb 9, 2019|W|82|76||Boston U.
Feb 11, 2019|W|87|75||Lehigh
Feb 16, 2019|L|71|72||Holy Cross

Total Points For:|1983
Total Points Against:|1908
Average Points For:|76.2692307692
Average Points Against:|73.3846153846
Average Point Difference:|2.88461538462

Win Percentage:|65.3846153846
