Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|82|67||St. Fran.-Pa.
Nov 9, 2018|W|99|94 |OT|West Virginia
Nov 12, 2018|W|62|53||S. Illinois
Nov 21, 2018|W|110|71||Dartmouth
Nov 24, 2018|W|76|49||Marist
Nov 30, 2018|W|96|77||Milwaukee
Dec 1, 2018|W|85|81||San Fran.
Dec 5, 2018|W|89|55||Lemoyne
Dec 8, 2018|W|80|62||St. Bona.
Dec 15, 2018|W|73|65||S. Illinois
Dec 18, 2018|W|71|59||Syracuse
Dec 21, 2018|L|85|103||Marquette
Dec 29, 2018|W|87|72||Canisius
Jan 4, 2019|W|74|58||E. Michigan
Jan 8, 2019|W|110|80||Toledo
Jan 12, 2019|W|88|64||Miami (Ohio)
Jan 15, 2019|W|88|79||W. Michigan
Jan 18, 2019|W|77|65||E. Michigan
Jan 22, 2019|L|75|77||N. Illinois
Jan 25, 2019|W|88|79||Kent St.
Jan 29, 2019|W|83|59||Ball St.
Feb 1, 2019|L|88|92||Bowling Green
Feb 9, 2019|W|90|76||C. Michigan
Feb 12, 2019|W|76|70||Akron
Feb 15, 2019|W|88|82||Toledo

Total Points For:|2120
Total Points Against:|1789
Average Points For:|84.8
Average Points Against:|71.56
Average Point Difference:|13.24

Win Percentage:|88.0
