Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|90|68||Miami (Ohio)
Nov 12, 2018|W|84|63||Detroit
Nov 16, 2018|W|83|76||Ole Miss
Nov 21, 2018|L|64|69||Dayton
Nov 22, 2018|W|84|53||Middle Tenn.
Nov 23, 2018|W|61|54||Florida
Dec 1, 2018|L|52|64||Saint Louis
Dec 5, 2018|W|70|55||Brown
Dec 8, 2018|W|95|68||N. Illinois
Dec 15, 2018|L|68|71||Indiana
Dec 18, 2018|W|76|67||Presbyterian
Dec 21, 2018|W|71|54||UC Irvine
Dec 29, 2018|L|43|77||Florida
Jan 2, 2019|L|76|84||Georgetown
Jan 5, 2019|W|84|69||Creighton
Jan 9, 2019|L|75|76||Seton Hall
Jan 13, 2019|L|69|70||Xavier
Jan 16, 2019|W|87|69||DePaul
Jan 19, 2019|W|80|71||St. John&#039;s
Jan 22, 2019|L|72|80||Villanova
Jan 25, 2019|L|61|75||Creighton
Jan 30, 2019|L|58|76||Marquette
Feb 2, 2019|W|70|68||Seton Hall
Feb 9, 2019|W|73|69||Georgetown
Feb 12, 2019|L|73 |77|OT|St. John&#039;s
Feb 16, 2019|W|91|78||DePaul

Total Points For:|1910
Total Points Against:|1801
Average Points For:|73.4615384615
Average Points Against:|69.2692307692
Average Point Difference:|4.19230769231

Win Percentage:|57.6923076923
