Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|70|86||Nevada
Nov 9, 2018|W|75|65||Utah Valley
Nov 13, 2018|W|82|57||Northwestern St.
Nov 15, 2018|W|85|65||Oral Roberts
Nov 17, 2018|W|91|60||Alabama A&amp;M
Nov 21, 2018|W|105|78||Rice
Nov 24, 2018|L|62|76||Houston
Nov 28, 2018|L|89 |92|OT|Illinois St.
Dec 1, 2018|L|103|113||Weber St.
Dec 5, 2018|W|95|80||Utah St.
Dec 8, 2018|W|74|59||Utah
Dec 12, 2018|W|85|66||Portland St.
Dec 15, 2018|L|90 |92|OT|UNLV
Dec 22, 2018|L|81|90||San Diego St
Dec 29, 2018|L|81|103||Miss. State
Jan 3, 2019|W|90|87||Pacific
Jan 5, 2019|L|66|88||Saint Mary&#039;s
Jan 10, 2019|W|79|56||Portland
Jan 12, 2019|W|80|74||Santa Clara
Jan 17, 2019|W|87|76||Pepperdine
Jan 19, 2019|L|63|82||San Fran.
Jan 24, 2019|W|71|66||Saint Mary&#039;s
Jan 31, 2019|L|63|93||Gonzaga
Feb 2, 2019|W|67|49||LMU
Feb 7, 2019|W|83|48||Portland
Feb 9, 2019|W|69|59||Pacific
Feb 14, 2019|W|88|82 |OT|San Diego
Feb 16, 2019|W|70|62||LMU

Total Points For:|2244
Total Points Against:|2104
Average Points For:|80.1428571429
Average Points Against:|75.1428571429
Average Point Difference:|5.0

Win Percentage:|64.2857142857
