Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|97|93 |OT|UNC-Wilm.
Nov 9, 2018|L|75|85||Coastal Carolina
Nov 12, 2018|L|73|81||Ohio
Nov 16, 2018|W|66|59||Florida A&amp;M
Nov 18, 2018|W|78|72||Austin Peay
Nov 24, 2018|L|85|93||Georgetown
Nov 29, 2018|W|79|29||
Dec 4, 2018|L|68|83||Abil Christian
Dec 13, 2018|W|100|53||
Dec 18, 2018|L|76|82||The Citadel
Dec 21, 2018|L|75|88||Austin Peay
Dec 22, 2018|W|70|69||Alabama St.
Dec 29, 2018|L|62|73||Miami (Fla.)
Jan 2, 2019|W|95|48||
Jan 5, 2019|W|72|61||Gardner-Webb
Jan 10, 2019|L|86|90||Winthrop
Jan 16, 2019|W|70|53||UNC-Ash.
Jan 19, 2019|W|73|72||Charleston So.
Jan 24, 2019|W|77|73||Presbyterian
Jan 26, 2019|L|58|64||Hampton
Jan 30, 2019|W|68|67||Radford
Feb 2, 2019|W|83|62||Longwood
Feb 7, 2019|L|56|57||High Point
Feb 9, 2019|W|82|66||SC Upstate
Feb 13, 2019|W|87|84||Hampton
Feb 16, 2019|L|71|76||Presbyterian

Total Points For:|1982
Total Points Against:|1833
Average Points For:|76.2307692308
Average Points Against:|70.5
Average Point Difference:|5.73076923077

Win Percentage:|57.6923076923
