Date|Win?|Points For|Points Against|OT?|Opponent
Nov 13, 2018|W|82|73||Bucknell
Nov 17, 2018|L|66|75||Albany
Nov 19, 2018|L|61|93||Florida St.
Nov 22, 2018|L|56|83||Villanova
Nov 23, 2018|L|63|71||Memphis
Nov 25, 2018|L|58|68||UAB
Nov 28, 2018|L|55|70||St. Bona.
Dec 5, 2018|W|68|62||Robert Morris
Dec 16, 2018|W|92|91||Elon
Dec 20, 2018|L|63|65||Holy Cross
Dec 29, 2018|L|72|87||Buffalo
Jan 3, 2019|W|75|72||Marist
Jan 5, 2019|W|70|66||Siena
Jan 8, 2019|L|90 |97|OT|Brown
Jan 11, 2019|L|73|82||Rider
Jan 13, 2019|L|70|88||Iona
Jan 17, 2019|W|65|63||Quinnipiac
Jan 19, 2019|W|73|68||Fairfield
Jan 24, 2019|W|80|66||Monmouth
Jan 30, 2019|L|70|78||Niagara
Feb 1, 2019|W|75|70||Quinnipiac
Feb 4, 2019|L|71 |78|OT|Marist
Feb 8, 2019|W|81|80||Rider
Feb 10, 2019|W|64|60||St. Peter&#039;s
Feb 15, 2019|W|72|68||Fairfield
Feb 17, 2019|L|65|70||Manhattan

Total Points For:|1830
Total Points Against:|1944
Average Points For:|70.3846153846
Average Points Against:|74.7692307692
Average Point Difference:|-4.38461538462

Win Percentage:|46.1538461538
