Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|75|68||Hartford
Nov 10, 2018|L|78|85||Georgetown
Nov 13, 2018|W|86|74||UMass Lowell
Nov 16, 2018|L|78|80||Austin Peay
Nov 18, 2018|W|89|75||Florida A&amp;M
Nov 21, 2018|L|74|76||LMU
Nov 25, 2018|W|88|59||
Nov 29, 2018|L|60|72||NC A&amp;T
Dec 1, 2018|L|40|94||Virginia Tech
Dec 8, 2018|W|79|58||PSUWB
Dec 16, 2018|L|63|87||Providence
Dec 22, 2018|W|93|90 |OT|Maine
Dec 29, 2018|L|59|80||Oregon St.
Jan 3, 2019|L|58|80||Wagner
Jan 5, 2019|L|61|73||Sacred Heart
Jan 10, 2019|W|103|96 |OT|F. Dickinson
Jan 12, 2019|W|77|68||Mt St Mary&#039;s
Jan 19, 2019|L|69|80||St. Fran.-Pa.
Jan 21, 2019|L|59|70||Robert Morris
Jan 24, 2019|L|60|63||Bryant
Jan 26, 2019|L|71|84||LIU-Brooklyn
Jan 31, 2019|W|78|72||St. Fran.-NY
Feb 2, 2019|W|64|59||Bryant
Feb 7, 2019|L|85|90||St. Fran.-Pa.
Feb 9, 2019|W|77|68||Robert Morris
Feb 14, 2019|L|57|63||Wagner
Feb 16, 2019|L|79|90||St. Fran.-NY

Total Points For:|1960
Total Points Against:|2054
Average Points For:|72.5925925926
Average Points Against:|76.0740740741
Average Point Difference:|-3.48148148148

Win Percentage:|40.7407407407
