Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|69|80||Chattanooga
Nov 10, 2018|W|66|64||Oklahoma St.
Nov 16, 2018|L|59|64||James Madison
Nov 19, 2018|W|42|39||Longwood
Nov 27, 2018|L|56|76||Davidson
Dec 1, 2018|L|64|72||Charleston
Dec 6, 2018|L|56|80||Wake Forest
Dec 18, 2018|W|55|49||South Florida
Dec 23, 2018|L|57|82||East Carolina
Dec 24, 2018|L|61|75||TCU
Dec 25, 2018|L|53|68||Rhode Island
Jan 3, 2019|L|50|68||Colorado
Jan 5, 2019|L|84|85||W. Kentucky
Jan 10, 2019|L|66|69||Marshall
Jan 12, 2019|W|65|60||FIU
Jan 17, 2019|L|60|63||FAU
Jan 19, 2019|W|55|40||So. Miss
Jan 21, 2019|L|70|76||Louisiana Tech
Jan 24, 2019|L|43|88||Old Dominion
Jan 26, 2019|L|53|57||UT-San Antonio
Jan 31, 2019|L|61|65||UTEP
Feb 2, 2019|L|66|73||Rice
Feb 7, 2019|L|53|71||North Texas
Feb 9, 2019|W|69|62||Middle Tenn.
Feb 16, 2019|L|60|73||UAB

Total Points For:|1493
Total Points Against:|1699
Average Points For:|59.72
Average Points Against:|67.96
Average Point Difference:|-8.24

Win Percentage:|24.0
