Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|85|73||Presbyterian
Nov 10, 2018|W|77|74||W. Carolina
Nov 13, 2018|W|66|55||Rhode Island
Nov 18, 2018|L|58|70||Oklahoma St.
Nov 22, 2018|L|55|67||LSU
Nov 23, 2018|W|74|51||UAB
Nov 25, 2018|W|78|75||Memphis
Nov 28, 2018|W|83|70||SC State
Dec 1, 2018|W|72|64||Charlotte
Dec 9, 2018|W|87|69||Georgia Coll.
Dec 15, 2018|W|83|79||VCU
Dec 18, 2018|W|83|58||Siena
Dec 21, 2018|W|73|71||Coastal Carolina
Dec 29, 2018|W|73|66||UNC-Wilm.
Jan 3, 2019|W|67|55||Towson
Jan 5, 2019|L|58|69||James Madison
Jan 10, 2019|L|78|79||Drexel
Jan 12, 2019|W|71|58||Delaware
Jan 17, 2019|L|60|69||Northeastern
Jan 19, 2019|L|72|86||Hofstra
Jan 24, 2019|W|72|53||Elon
Jan 26, 2019|W|74|59||William &amp; Mary
Jan 31, 2019|W|70|53||James Madison
Feb 2, 2019|W|54|53||Towson
Feb 7, 2019|W|83|75||Delaware
Feb 9, 2019|W|86|84||Drexel
Feb 14, 2019|L|95|99||Hofstra
Feb 16, 2019|W|88|79 |OT|Northeastern

Total Points For:|2075
Total Points Against:|1913
Average Points For:|74.1071428571
Average Points Against:|68.3214285714
Average Point Difference:|5.78571428571

Win Percentage:|75.0
