Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|100|68||Columbia Intl
Nov 9, 2018|L|46|76||Florida
Nov 13, 2018|W|89|72||SC State
Nov 16, 2018|L|73|76||Middle Tenn.
Nov 19, 2018|W|98|49||
Nov 23, 2018|W|93|67||Coppin St.
Nov 27, 2018|L|55|76||Marquette
Dec 1, 2018|L|70|76||North Florida
Dec 11, 2018|L|69|77||Furman
Dec 15, 2018|L|61|68||North Florida
Dec 18, 2018|L|51|78||Clemson
Dec 21, 2018|W|86|61||JW (NC)
Dec 30, 2018|W|111|65||Piedmont Intl Univ
Jan 5, 2019|L|50|51||High Point
Jan 10, 2019|L|82|94||Hampton
Jan 12, 2019|W|101|91||Longwood
Jan 19, 2019|L|72|73||Campbell
Jan 24, 2019|L|78|86||Radford
Jan 26, 2019|W|74|60||Gardner-Webb
Jan 30, 2019|W|85|84||Presbyterian
Feb 2, 2019|W|90|71||SC Upstate
Feb 7, 2019|L|72|76||Winthrop
Feb 9, 2019|W|85|75||UNC-Ash.
Feb 13, 2019|L|74|77||Gardner-Webb
Feb 16, 2019|W|53|52||Radford

Total Points For:|1918
Total Points Against:|1799
Average Points For:|76.72
Average Points Against:|71.96
Average Point Difference:|4.76

Win Percentage:|48.0
