Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|80|69||Charlotte
Nov 10, 2018|L|78|81||E. Kentucky
Nov 13, 2018|W|92|61||
Nov 16, 2018|L|54|73||South Alabama
Nov 17, 2018|L|42|63||SE Missouri St.
Nov 18, 2018|L|66|74||Jacksonville
Nov 23, 2018|L|55|83||Michigan
Nov 27, 2018|W|95|62||
Dec 1, 2018|W|71|60||Tenn. Tech
Dec 9, 2018|W|83|65||VMI
Dec 12, 2018|L|88|95||Georgia St.
Dec 16, 2018|L|70|90||Ole Miss
Dec 18, 2018|L|72|75||UT Martin
Dec 21, 2018|W|79|45||
Dec 29, 2018|L|72|85||UNC-Green.
Jan 3, 2019|W|73|62||W. Carolina
Jan 5, 2019|L|70|96||ETSU
Jan 12, 2019|W|80|75||Samford
Jan 17, 2019|W|73|70||Mercer
Jan 19, 2019|W|73|71||The Citadel
Jan 24, 2019|L|58|73||Furman
Jan 26, 2019|L|69|80||Wofford
Jan 31, 2019|L|96|105||W. Carolina
Feb 2, 2019|L|64|77||ETSU
Feb 7, 2019|W|71|70||VMI
Feb 9, 2019|L|63|78||UNC-Green.
Feb 16, 2019|L|76 |80|OT|Samford

Total Points For:|1963
Total Points Against:|2018
Average Points For:|72.7037037037
Average Points Against:|74.7407407407
Average Point Difference:|-2.03703703704

Win Percentage:|40.7407407407
