Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|55|104||Indiana
Nov 8, 2018|L|62|89||Notre Dame
Nov 9, 2018|L|60|101||C. Michigan
Nov 13, 2018|L|71|75||Illinois St.
Nov 16, 2018|L|46|87||Akron
Nov 19, 2018|L|61|86||ETSU
Nov 20, 2018|L|68|81||Jackson St.
Nov 24, 2018|L|70|86||Bradley
Nov 29, 2018|W|90|67||East-West
Dec 1, 2018|W|80|72||E. Illinois
Dec 6, 2018|W|84|82||
Dec 12, 2018|L|70|104||DePaul
Dec 17, 2018|L|46|88||Northwestern
Dec 20, 2018|L|52|81||W. Illinois
Dec 22, 2018|L|59|100||N. Illinois
Jan 5, 2019|L|72|80||UMKC
Jan 12, 2019|L|75|77||Cal Baptist
Jan 17, 2019|L|46|80||Grand Canyon
Jan 19, 2019|L|73|86||Cal-Baker.
Jan 24, 2019|L|47|75||Seattle
Jan 26, 2019|L|60|74||Utah Valley
Jan 31, 2019|L|46|77||UT-Rio Grande Valley
Feb 2, 2019|L|39|83||N. Mex. St.
Feb 7, 2019|L|44|94||Cal Baptist
Feb 14, 2019|L|62|75||Cal-Baker.
Feb 16, 2019|L|59|90||Grand Canyon

Total Points For:|1597
Total Points Against:|2194
Average Points For:|61.4230769231
Average Points Against:|84.3846153846
Average Point Difference:|-22.9615384615

Win Percentage:|11.5384615385
