Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|80|100||Clemson
Nov 12, 2018|W|148|75||Mid-Atlantic Christian
Nov 14, 2018|W|137|60||
Nov 16, 2018|L|69|97||Texas
Nov 20, 2018|W|91|82 |OT|James Madison
Nov 24, 2018|W|84|81||South Florida
Nov 27, 2018|W|112|87||High Point
Dec 1, 2018|W|79|69||Mercer
Dec 5, 2018|W|127|93||JW (NC)
Dec 15, 2018|W|86|74||SE Missouri St.
Dec 18, 2018|W|82|76||Campbell
Dec 29, 2018|L|94|110||Longwood
Jan 3, 2019|L|81|112||Wofford
Jan 5, 2019|L|85|101||Furman
Jan 10, 2019|L|73|98||ETSU
Jan 12, 2019|L|82|94||W. Carolina
Jan 17, 2019|L|77|80||Samford
Jan 19, 2019|L|71|73||Chattanooga
Jan 24, 2019|L|60|83||UNC-Green.
Jan 26, 2019|W|84|82||VMI
Jan 31, 2019|L|61|71||Furman
Feb 2, 2019|L|61|99||Wofford
Feb 9, 2019|W|67|61||Mercer
Feb 14, 2019|L|83|91||ETSU
Feb 16, 2019|L|82|103||W. Carolina

Total Points For:|2156
Total Points Against:|2152
Average Points For:|86.24
Average Points Against:|86.08
Average Point Difference:|0.16

Win Percentage:|44.0
