Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|100|80||The Citadel
Nov 9, 2018|W|71|51||NC Central
Nov 14, 2018|W|74|59||Sam Houston
Nov 19, 2018|W|72|69||Akron
Nov 20, 2018|W|64|49||Georgia
Nov 21, 2018|L|82|87||Creighton
Nov 26, 2018|L|66|68||Nebraska
Dec 4, 2018|W|65|60||St. Peter&#039;s
Dec 8, 2018|L|71|82||Miss. State
Dec 15, 2018|W|74|66||Radford
Dec 18, 2018|W|78|51||Charleston So.
Dec 22, 2018|W|78|68||South Carolina
Dec 30, 2018|W|84|67||Lipscomb
Jan 5, 2019|L|68|87||Duke
Jan 9, 2019|L|53|61||Syracuse
Jan 12, 2019|L|43|63||Virginia
Jan 16, 2019|W|72|60||Georgia Tech
Jan 22, 2019|L|68|77||Florida St.
Jan 26, 2019|L|67|69||NC State
Jan 29, 2019|W|82|69||Pittsburgh
Feb 3, 2019|W|64|37||Wake Forest
Feb 6, 2019|W|65|42||Georgia Tech
Feb 9, 2019|W|59|51||Virginia Tech
Feb 13, 2019|L|64|65||Miami (Fla.)
Feb 16, 2019|L|55|56||Louisville

Total Points For:|1739
Total Points Against:|1594
Average Points For:|69.56
Average Points Against:|63.76
Average Point Difference:|5.8

Win Percentage:|60.0
