Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|63|83||Davidson
Nov 10, 2018|L|79|83||Kent St.
Nov 13, 2018|W|94|65||
Nov 16, 2018|W|84|69||SC State
Nov 18, 2018|L|60|73||Samford
Nov 23, 2018|L|62|89||Ohio St.
Nov 25, 2018|L|79|82||PFW
Nov 28, 2018|L|73|83||DePaul
Dec 1, 2018|L|67|80||Toledo
Dec 5, 2018|W|82|64||Bowling Green
Dec 9, 2018|W|77|56||
Dec 16, 2018|L|77 |88|OT|Illinois St.
Dec 19, 2018|W|82|60||Niagara
Dec 28, 2018|L|77|89||Oakland
Dec 30, 2018|L|61|73||Detroit
Jan 3, 2019|L|76|83||Milwaukee
Jan 5, 2019|L|89|90||Green Bay
Jan 10, 2019|L|74|90||IUPUI
Jan 12, 2019|L|56|73||Ill.-Chicago
Jan 17, 2019|L|76|91||N. Kentucky
Jan 19, 2019|L|66|89||Wright St.
Jan 26, 2019|W|72|62||Youngstown St.
Jan 31, 2019|L|64|78||Detroit
Feb 2, 2019|L|68|83||Oakland
Feb 7, 2019|L|65|82||Green Bay
Feb 9, 2019|W|78|68||Milwaukee
Feb 14, 2019|L|77|81||Ill.-Chicago
Feb 16, 2019|W|89|86||IUPUI

Total Points For:|2067
Total Points Against:|2193
Average Points For:|73.8214285714
Average Points Against:|78.3214285714
Average Point Difference:|-4.5

Win Percentage:|28.5714285714
