Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|L|76|82||Marist
Nov 16, 2018|L|83|94||Youngstown St.
Nov 17, 2018|L|87|98||FIU
Nov 18, 2018|L|69|70||Fordham
Nov 25, 2018|W|85|38||
Dec 2, 2018|L|86 |87|OT|Delaware
Dec 5, 2018|L|62|64||Colgate
Dec 7, 2018|W|90|68||Bryant
Dec 9, 2018|W|74|71||Iona
Dec 12, 2018|L|73|82||Boston College
Dec 22, 2018|L|65 |68|OT|Rutgers
Dec 30, 2018|L|54|75||Northwestern
Jan 2, 2019|W|65|63||Binghamton
Jan 12, 2019|W|102|63||
Jan 19, 2019|L|59|60||Cornell
Jan 26, 2019|W|73|70||Cornell
Feb 1, 2019|L|43|55||Princeton
Feb 2, 2019|L|70|72||Penn
Feb 8, 2019|L|96 |98|OT|Harvard
Feb 9, 2019|L|66|82||Dartmouth
Feb 15, 2019|L|64|70||Yale
Feb 16, 2019|L|63|65||Brown

Total Points For:|1605
Total Points Against:|1595
Average Points For:|72.9545454545
Average Points Against:|72.5
Average Point Difference:|0.454545454545

Win Percentage:|27.2727272727
