Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|98|67||Concordia (MI)
Nov 9, 2018|W|101|60||Chicago St.
Nov 15, 2018|W|67|55||Cal-Baker.
Nov 16, 2018|L|76|78||Weber St.
Nov 18, 2018|W|76|74||San Jose St.
Nov 25, 2018|W|103|75||
Nov 28, 2018|W|81|65||Sam Houston
Nov 30, 2018|L|62|89||TCU
Dec 4, 2018|W|100|94 |OT|Youngstown St.
Dec 8, 2018|W|95|86||So. Utah
Dec 19, 2018|W|81|72||UMKC
Dec 22, 2018|W|81|72||Jackson St.
Dec 30, 2018|W|123|76||
Jan 5, 2019|W|84|77||Miami (Ohio)
Jan 8, 2019|W|88|86 |OT|Akron
Jan 12, 2019|L|87 |97|OT|Bowling Green
Jan 15, 2019|W|78|69||N. Illinois
Jan 19, 2019|L|72|83||Ball St.
Jan 22, 2019|L|67|70||Akron
Jan 26, 2019|L|72|76||Toledo
Jan 29, 2019|W|86|82||E. Michigan
Feb 2, 2019|W|85|64||W. Michigan
Feb 9, 2019|L|76|90||Buffalo
Feb 12, 2019|L|72|79||Bowling Green
Feb 16, 2019|W|87|80||Ohio

Total Points For:|2098
Total Points Against:|1916
Average Points For:|83.92
Average Points Against:|76.64
Average Point Difference:|7.28

Win Percentage:|68.0
