Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|78 |81|OT|N.J. Tech
Nov 9, 2018|W|87|74||Monmouth
Nov 11, 2018|W|73|57||Cornell
Nov 14, 2018|W|86|68||
Nov 19, 2018|W|76|68||Binghamton
Nov 21, 2018|L|56|77||Syracuse
Nov 24, 2018|W|84|79||Siena
Nov 30, 2018|L|63|73||South Florida
Dec 2, 2018|W|74|56||FGCU
Dec 5, 2018|W|64|62||Columbia
Dec 8, 2018|L|65|76||Penn St.
Dec 15, 2018|W|82|66||Marist
Dec 29, 2018|L|54|68||Pittsburgh
Jan 3, 2019|L|66|72||Navy
Jan 6, 2019|W|73|69||American
Jan 9, 2019|L|81|84||Bucknell
Jan 12, 2019|W|91|78||Lehigh
Jan 16, 2019|L|81|91||Army
Jan 19, 2019|W|77|56||Boston U.
Jan 23, 2019|W|57|47||Lafayette
Jan 26, 2019|L|72 |79|OT|Loyola-Md.
Jan 30, 2019|W|76|56||Army
Feb 2, 2019|L|68|76||Boston U.
Feb 4, 2019|W|84|62||Lehigh
Feb 9, 2019|W|75|72||Loyola-Md.
Feb 13, 2019|W|74|70||Holy Cross
Feb 16, 2019|W|83|81 |OT|American

Total Points For:|2000
Total Points Against:|1898
Average Points For:|74.0740740741
Average Points Against:|70.2962962963
Average Point Difference:|3.77777777778

Win Percentage:|62.962962963
