Date|Win?|Points For|Points Against|OT?|Opponent
Nov 13, 2018|W|100|71||Drake
Nov 16, 2018|W|79|75||Neb.-Omaha
Nov 20, 2018|L|64|70||San Diego
Nov 24, 2018|W|93|56||Air Force
Nov 28, 2018|W|93|69||Portland
Dec 1, 2018|W|86|80||Colorado St.
Dec 4, 2018|W|82|58||South Dakota
Dec 8, 2018|W|84|72||Ill.-Chicago
Dec 11, 2018|W|78|75||New Mexico
Dec 22, 2018|L|67|72||Indiana St.
Dec 23, 2018|L|62 |70|OT|Hawaii
Dec 25, 2018|W|68|53||Charlotte
Jan 3, 2019|L|56|64||Arizona
Jan 5, 2019|L|61|83||Arizona St.
Jan 10, 2019|W|92|60||Washington St.
Jan 12, 2019|L|70|77||Washington
Jan 20, 2019|L|69|78||Utah
Jan 24, 2019|W|68|59||California
Jan 26, 2019|L|62|75||Stanford
Jan 31, 2019|L|74|76||Oregon St.
Feb 2, 2019|W|73|51||Oregon
Feb 6, 2019|W|84|73||UCLA
Feb 9, 2019|W|69|65||USC
Feb 13, 2019|W|77|73||Arizona St.
Feb 17, 2019|W|67|60||Arizona

Total Points For:|1878
Total Points Against:|1715
Average Points For:|75.12
Average Points Against:|68.6
Average Point Difference:|6.52

Win Percentage:|64.0
