Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|75||Binghamton
Nov 8, 2018|W|86|44||SUNY-Canton
Nov 11, 2018|L|57|73||Colgate
Nov 15, 2018|L|56|73||Delaware
Nov 17, 2018|W|86|73||N.J. Tech
Nov 20, 2018|L|74|91||Connecticut
Nov 28, 2018|W|63|58 |OT|Lafayette
Dec 1, 2018|L|55|63||Syracuse
Dec 16, 2018|L|74|77||Niagara
Dec 17, 2018|W|70|64||Longwood
Dec 19, 2018|L|70|86||Toledo
Dec 22, 2018|L|53|81||SMU
Dec 30, 2018|W|61|50||Navy
Jan 2, 2019|L|61|83||Wake Forest
Jan 4, 2019|W|76|61||
Jan 9, 2019|W|86|74||Towson
Jan 19, 2019|W|60|59||Columbia
Jan 26, 2019|L|70|73||Columbia
Feb 1, 2019|W|80|71||Penn
Feb 2, 2019|L|61 |70|OT|Princeton
Feb 8, 2019|W|83|80||Dartmouth
Feb 9, 2019|W|67|61||Harvard
Feb 15, 2019|W|70|66 |OT|Brown
Feb 16, 2019|L|92|98||Yale

Total Points For:|1697
Total Points Against:|1704
Average Points For:|70.7083333333
Average Points Against:|71.0
Average Point Difference:|-0.291666666667

Win Percentage:|54.1666666667
