Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|82|75||
Nov 11, 2018|L|61|82||Arizona
Nov 19, 2018|L|70|84||Sacramento St.
Nov 21, 2018|L|42|54||Washington St.
Nov 23, 2018|L|67|72||Texas St.
Nov 24, 2018|W|75|74 |OT|Portland
Dec 1, 2018|L|67|76||SC Upstate
Dec 8, 2018|W|80|78 |OT|Fresno St.
Dec 15, 2018|L|66|67||Bethune-Cook.
Dec 18, 2018|L|61|74||California
Dec 21, 2018|L|70 |75|OT|Cal-Baker.
Dec 29, 2018|L|54|75||UT-Arlington
Jan 4, 2019|W|68|47||Siena
Jan 9, 2019|L|56|65||
Jan 12, 2019|L|74 |78|OT|UCSB
Jan 19, 2019|L|63|75||CSNorthridge 
Jan 23, 2019|L|51|74||UC Davis
Jan 26, 2019|L|63|80||UC Riverside
Jan 31, 2019|W|71|45||CSFullerton
Feb 2, 2019|L|65|83||UC Riverside
Feb 7, 2019|L|53|63||CSNorthridge 
Feb 9, 2019|L|68 |76|OT|UC Davis
Feb 15, 2019|L|54|75||LBSU

Total Points For:|1481
Total Points Against:|1647
Average Points For:|64.3913043478
Average Points Against:|71.6086956522
Average Point Difference:|-7.21739130435

Win Percentage:|21.7391304348
