Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|78|67||W. Illinois
Nov 11, 2018|W|75|69||ETSU
Nov 15, 2018|L|60|69||Ohio St.
Nov 19, 2018|W|94|82||Boise St.
Nov 20, 2018|W|93|68||Georgia St.
Nov 21, 2018|W|87|82||Clemson
Nov 28, 2018|W|98|72||Montana
Dec 1, 2018|L|92|103||Gonzaga
Dec 8, 2018|L|75|94||Nebraska
Dec 14, 2018|W|86|65||Green Bay
Dec 18, 2018|L|70|83||Oklahoma
Dec 20, 2018|W|110|60||
Dec 27, 2018|W|89|53||UMKC
Dec 31, 2018|W|79|68||Providence
Jan 5, 2019|L|69|84||Butler
Jan 9, 2019|L|104 |106|OT|Marquette
Jan 13, 2019|L|78|90||Villanova
Jan 16, 2019|L|66|81||St. John&#039;s
Jan 21, 2019|W|91|87||Georgetown
Jan 25, 2019|W|75|61||Butler
Jan 30, 2019|L|67|83||St. John&#039;s
Feb 3, 2019|W|76|54||Xavier
Feb 6, 2019|L|59 |66|OT|Villanova
Feb 9, 2019|L|58|63||Seton Hall
Feb 13, 2019|L|61 |64|OT|Xavier
Feb 17, 2019|L|75|81||Seton Hall

Total Points For:|2065
Total Points Against:|1955
Average Points For:|79.4230769231
Average Points Against:|75.1923076923
Average Point Difference:|4.23076923077

Win Percentage:|50.0
