Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|61|66||TCU
Nov 9, 2018|W|111|75||Antelope Valley
Nov 15, 2018|L|55|67||C. Michigan
Nov 17, 2018|W|73|72||San Jose St.
Nov 18, 2018|W|68|67||Weber St.
Nov 25, 2018|L|75|90||USC
Dec 1, 2018|L|56|68||South Dakota
Dec 4, 2018|W|67|53||
Dec 8, 2018|W|73|67||Idaho
Dec 13, 2018|W|86|65||Lamar
Dec 18, 2018|W|74|61||Cal Poly
Dec 20, 2018|W|76|71||Portland St.
Dec 31, 2018|L|54|89||Gonzaga
Jan 3, 2019|W|83|71||Seattle
Jan 5, 2019|W|73|71||Utah Valley
Jan 10, 2019|W|75|69||UT-Rio Grande Valley
Jan 12, 2019|L|62|73||N. Mex. St.
Jan 17, 2019|W|74|73||UMKC
Jan 19, 2019|W|86|73||Chicago St.
Jan 24, 2019|W|88|84||Cal Baptist
Jan 29, 2019|W|81|54||
Feb 2, 2019|L|59|72||Grand Canyon
Feb 7, 2019|L|70 |71|OT|N. Mex. St.
Feb 9, 2019|L|74 |79|OT|UT-Rio Grande Valley
Feb 14, 2019|W|75|62||Chicago St.
Feb 16, 2019|L|67|75||UMKC

Total Points For:|1896
Total Points Against:|1838
Average Points For:|72.9230769231
Average Points Against:|70.6923076923
Average Point Difference:|2.23076923077

Win Percentage:|61.5384615385
