Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|94 |102|OT|Arizona St.
Nov 10, 2018|W|106|53||
Nov 15, 2018|L|52|68||UCF
Nov 16, 2018|L|59|66||Wake Forest
Nov 18, 2018|W|87|63||Monmouth
Nov 21, 2018|L|71|80||Hofstra
Nov 24, 2018|L|82 |87|OT|Sacramento St.
Dec 1, 2018|W|99|60||
Dec 5, 2018|L|49|59||LMU
Dec 10, 2018|L|66|81||Saint Mary&#039;s
Dec 16, 2018|L|54|68||San Fran.
Dec 22, 2018|L|62|86||Nebraska
Dec 29, 2018|W|79|64||Portland
Jan 1, 2019|L|76|84||Washington
Jan 10, 2019|L|68|79||Hawaii
Jan 12, 2019|L|46|63||UC Irvine
Jan 17, 2019|W|69|61||UC Riverside
Jan 19, 2019|W|92|90 |OT|LBSU
Jan 24, 2019|W|81|60||UCSB
Jan 26, 2019|W|80|63||Cal Poly
Jan 30, 2019|W|78|71||CSNorthridge 
Feb 6, 2019|L|53|60||UC Irvine
Feb 9, 2019|W|77|54||UC Riverside
Feb 13, 2019|W|85|82||LBSU
Feb 16, 2019|W|78|71||CSNorthridge 

Total Points For:|1843
Total Points Against:|1775
Average Points For:|73.72
Average Points Against:|71.0
Average Point Difference:|2.72

Win Percentage:|48.0
