Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|84|87||New Mexico
Nov 13, 2018|L|64|79||Pepperdine
Nov 17, 2018|L|77|80||LMU
Nov 20, 2018|W|80|77||Portland
Nov 27, 2018|L|94|103||Tennessee St.
Dec 1, 2018|L|68|88||Washington St.
Dec 3, 2018|W|90|83||Sacramento St.
Dec 5, 2018|W|76|72||Pepperdine
Dec 9, 2018|L|68|82||
Dec 16, 2018|L|77|79||San Diego
Dec 19, 2018|L|57|92||Pacific
Dec 22, 2018|W|85|79||N. Mex. St.
Dec 23, 2018|W|81|80||SIUE
Dec 29, 2018|W|94|86||Rider
Jan 1, 2019|L|60|65||Morgan St.
Jan 5, 2019|L|90 |94|OT|San Diego St
Jan 9, 2019|W|84|83||Yale
Jan 12, 2019|W|78|74 |OT|UC Riverside
Jan 17, 2019|L|79|84||Cal Poly
Jan 19, 2019|L|68|74||Hawaii
Jan 23, 2019|W|86|71||UC Irvine
Jan 30, 2019|L|71|78||LBSU
Feb 2, 2019|W|83|65||CSFullerton
Feb 6, 2019|L|64|70||Cal Poly
Feb 13, 2019|L|59|76||UCSB
Feb 16, 2019|L|71|78||UC Davis

Total Points For:|1988
Total Points Against:|2079
Average Points For:|76.4615384615
Average Points Against:|79.9615384615
Average Point Difference:|-3.5

Win Percentage:|38.4615384615
