Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|66|34||E. Washington
Nov 10, 2018|W|84|70||Morehead St.
Nov 15, 2018|L|76|83||Connecticut
Nov 16, 2018|L|65|80||Oregon
Nov 21, 2018|W|77|56||Colgate
Nov 28, 2018|W|72|62||Ohio St.
Dec 1, 2018|W|63|55||Cornell
Dec 4, 2018|W|72|49||Northeastern
Dec 8, 2018|W|72|71||Georgetown
Dec 15, 2018|L|62|68||Old Dominion
Dec 18, 2018|L|59|71||Buffalo
Dec 22, 2018|W|82|52||Arkansas St.
Dec 29, 2018|W|81|47||St. Bona.
Jan 5, 2019|W|72|62||Notre Dame
Jan 9, 2019|W|61|53||Clemson
Jan 12, 2019|L|59|73||Georgia Tech
Jan 14, 2019|W|95|91 |OT|Duke
Jan 19, 2019|W|74|63||Pittsburgh
Jan 24, 2019|W|73|53||Miami (Fla.)
Jan 26, 2019|L|56|78||Virginia Tech
Jan 30, 2019|W|77|71||Boston College
Feb 2, 2019|W|65|56||Pittsburgh
Feb 5, 2019|L|62|80||Florida St.
Feb 9, 2019|W|67|56||Boston College
Feb 13, 2019|L|58|73||NC State

Total Points For:|1750
Total Points Against:|1607
Average Points For:|70.0
Average Points Against:|64.28
Average Point Difference:|5.72

Win Percentage:|68.0
