Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|116|39||Newbury College
Nov 9, 2018|L|76|79||Davidson
Nov 11, 2018|W|82|80||Loyola-Md.
Nov 13, 2018|W|100|54||Elms College
Nov 21, 2018|L|71|110||Buffalo
Nov 24, 2018|L|65|84||San Fran.
Nov 29, 2018|L|58|76||Marist
Nov 30, 2018|W|91|77||Albany
Dec 5, 2018|L|59|64||Quinnipiac
Dec 8, 2018|W|78|52||Maine
Dec 10, 2018|W|82|73||Sacred Heart
Dec 13, 2018|W|78|68||Boston U.
Dec 15, 2018|W|61|52||Albany
Dec 21, 2018|L|67|68||Bryant
Dec 30, 2018|W|76|68||New Hamp.
Jan 2, 2019|L|59|73||Vermont
Jan 12, 2019|W|81|63||Harvard
Jan 26, 2019|L|59|64||Harvard
Feb 1, 2019|L|58|60||Brown
Feb 2, 2019|L|68|89||Yale
Feb 8, 2019|L|80|83||Cornell
Feb 9, 2019|W|82|66||Columbia
Feb 15, 2019|L|79 |82|OT|Penn
Feb 16, 2019|L|68|69||Princeton

Total Points For:|1794
Total Points Against:|1693
Average Points For:|74.75
Average Points Against:|70.5416666667
Average Point Difference:|4.20833333333

Win Percentage:|45.8333333333
