Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|83|63||Clev. St.
Nov 9, 2018|W|79|76||Dartmouth
Nov 15, 2018|W|57|53||Wichita St.
Nov 16, 2018|L|58|79||Purdue
Nov 18, 2018|W|71|59||Northeastern
Nov 24, 2018|W|78|69||Northeastern
Nov 27, 2018|W|76|56||Charlotte
Dec 1, 2018|W|91|85||UNC-Wilm.
Dec 4, 2018|W|99|81||Winthrop
Dec 15, 2018|L|75 |77|OT|Temple
Dec 17, 2018|L|63|67||Wake Forest
Dec 22, 2018|W|88|54||
Dec 29, 2018|L|60|82||North Carolina
Jan 5, 2019|W|65|61||Duquesne
Jan 9, 2019|W|61|56||George Mason
Jan 12, 2019|W|64|57||VCU
Jan 15, 2019|L|60|61||Saint Joseph&#039;s
Jan 19, 2019|W|75|62||Richmond
Jan 23, 2019|W|73|62||George Wash.
Jan 26, 2019|W|54|53||Saint Louis
Feb 1, 2019|W|75|66||St. Bona.
Feb 6, 2019|W|68|53||Rhode Island
Feb 9, 2019|L|51|54||Massachusetts
Feb 12, 2019|W|79|69||Fordham
Feb 15, 2019|W|80|72||Saint Joseph&#039;s

Total Points For:|1783
Total Points Against:|1627
Average Points For:|71.32
Average Points Against:|65.08
Average Point Difference:|6.24

Win Percentage:|76.0
