Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|67|73||Maryland
Nov 10, 2018|W|78|75 |OT|St. Peter&#039;s
Nov 13, 2018|W|100|62||Chestnut Hill
Nov 15, 2018|W|73|56||Cornell
Nov 18, 2018|W|70|40||
Nov 23, 2018|L|65|84||UNC-Green.
Nov 26, 2018|W|75|71||Louisiana Tech
Nov 30, 2018|W|71|62||Md.-E. Shore
Dec 2, 2018|W|87|86 |OT|Columbia
Dec 5, 2018|L|65|80||Navy
Dec 9, 2018|W|88|83||St. Fran.-Pa.
Dec 16, 2018|L|68|74||Stony Brook
Dec 19, 2018|L|71|73||Delaware St.
Dec 28, 2018|L|46|91||Hofstra
Dec 30, 2018|W|82|80 |OT|Northeastern
Jan 3, 2019|W|58|56||William &amp; Mary
Jan 5, 2019|W|77|65||Elon
Jan 10, 2019|W|82|69||UNC-Wilm.
Jan 12, 2019|L|58|71||Charleston
Jan 17, 2019|W|76|69||James Madison
Jan 19, 2019|L|63|64||Towson
Jan 26, 2019|W|76|75||Drexel
Jan 31, 2019|L|56|57||Elon
Feb 2, 2019|L|63|84||William &amp; Mary
Feb 7, 2019|L|75|83||Charleston
Feb 9, 2019|W|70|66||UNC-Wilm.
Feb 14, 2019|W|78|71 |OT|Towson
Feb 16, 2019|L|61|68||James Madison

Total Points For:|1999
Total Points Against:|1988
Average Points For:|71.3928571429
Average Points Against:|71.0
Average Point Difference:|0.392857142857

Win Percentage:|57.1428571429
