Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|62|50||Maine
Nov 12, 2018|L|56|64||Kansas St.
Nov 15, 2018|L|61|67||Abil Christian
Nov 23, 2018|L|63|82||Seattle
Nov 24, 2018|W|64|62||Longwood
Nov 25, 2018|L|85|86||Fairfield
Nov 28, 2018|L|72|88||N. Colorado
Dec 1, 2018|L|75|98||Utah Valley
Dec 5, 2018|L|65|73||Air Force
Dec 9, 2018|W|93|69||Western St.
Dec 11, 2018|W|90|87 |OT|Wyoming
Dec 15, 2018|L|52|86||UC Irvine
Dec 18, 2018|W|76|64||Montana St.
Dec 21, 2018|L|40|101||Gonzaga
Dec 28, 2018|L|84|91||Neb.-Omaha
Dec 30, 2018|L|60|78||W. Illinois
Jan 2, 2019|L|70|71||South Dakota
Jan 5, 2019|L|59|80||North Dakota
Jan 10, 2019|L|66|78||S. Dak. St.
Jan 16, 2019|W|80|65||N. Dakota St.
Jan 20, 2019|W|74|58||Oral Roberts
Jan 26, 2019|L|81|91||PFW
Feb 3, 2019|L|82|92||S. Dak. St.
Feb 7, 2019|L|65|78||Oral Roberts
Feb 9, 2019|L|71|81||N. Dakota St.
Feb 14, 2019|L|81|94||PFW

Total Points For:|1827
Total Points Against:|2034
Average Points For:|70.2692307692
Average Points Against:|78.2307692308
Average Point Difference:|-7.96153846154

Win Percentage:|26.9230769231
