Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|80|58||Bethune-Cook.
Nov 12, 2018|W|91|63||Morgan St.
Nov 15, 2018|W|72|70 |OT|Penn St.
Nov 24, 2018|L|70|95||Notre Dame
Nov 28, 2018|W|83|73||Clev. St.
Dec 3, 2018|W|65|50||Florida A&amp;M
Dec 8, 2018|L|68|75||Northwestern
Dec 12, 2018|W|104|70||Chicago St.
Dec 14, 2018|W|90|70||Ill.-Chicago
Dec 19, 2018|W|81|71||Incarnate Word
Dec 22, 2018|L|62|65||Boston College
Dec 29, 2018|L|65|74||Xavier
Jan 2, 2019|L|68|73||Villanova
Jan 6, 2019|W|75|74||Seton Hall
Jan 12, 2019|W|79|71||St. John&#039;s
Jan 16, 2019|L|69|87||Butler
Jan 19, 2019|W|97|93||Seton Hall
Jan 23, 2019|L|69|79||Marquette
Jan 27, 2019|L|67|70||Providence
Jan 30, 2019|L|74|86||Villanova
Feb 2, 2019|W|67|55||Providence
Feb 9, 2019|W|74|62||Xavier
Feb 12, 2019|L|73|92||Marquette
Feb 16, 2019|L|78|91||Butler

Total Points For:|1821
Total Points Against:|1767
Average Points For:|75.875
Average Points Against:|73.625
Average Point Difference:|2.25

Win Percentage:|54.1666666667
