Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|98|52||
Nov 13, 2018|L|71|100||Colorado
Nov 17, 2018|W|75|69||Texas St.
Nov 21, 2018|W|66|63||UMKC
Nov 27, 2018|W|83|74||Boise St.
Dec 1, 2018|W|95|88||N. Dakota St.
Dec 6, 2018|W|75|61||Milwaukee
Dec 15, 2018|L|68|77||Iowa St.
Dec 17, 2018|W|79|66||SIUE
Dec 19, 2018|W|76|58||Rider
Dec 22, 2018|W|66|63||N. Mex. St.
Dec 23, 2018|W|110|103 |OT|San Diego
Dec 29, 2018|W|98|70||McKendree
Jan 2, 2019|L|77 |82|OT|Evansville
Jan 5, 2019|L|74|85||Loyola-Chi.
Jan 8, 2019|W|82|70||S. Illinois
Jan 13, 2019|L|54|57||Northern Iowa
Jan 16, 2019|W|69|52||Bradley
Jan 20, 2019|W|74|63||Missouri St.
Jan 23, 2019|W|78|66||Evansville
Jan 26, 2019|W|70|59||Valparaiso
Jan 30, 2019|L|55|69||Illinois St.
Feb 2, 2019|W|68|62||Indiana St.
Feb 5, 2019|L|64|86||Loyola-Chi.
Feb 9, 2019|W|83|77||Northern Iowa
Feb 12, 2019|W|72|69||S. Illinois
Feb 16, 2019|W|84|79||Valparaiso

Total Points For:|2064
Total Points Against:|1920
Average Points For:|76.4444444444
Average Points Against:|71.1111111111
Average Point Difference:|5.33333333333

Win Percentage:|74.0740740741
