Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|62|66||E. Michigan
Nov 11, 2018|L|66|95||Rutgers
Nov 14, 2018|W|118|41||
Nov 17, 2018|W|89|84||La Salle
Nov 21, 2018|W|86|67||Boston U.
Nov 25, 2018|L|71|81||Bowling Green
Nov 28, 2018|L|67|70||N.J. Tech
Dec 1, 2018|W|82|69||Robert Morris
Dec 5, 2018|W|95|86||Loyola-Md.
Dec 8, 2018|L|76|91||UMBC
Dec 16, 2018|W|92|83||Quinnipiac
Dec 18, 2018|L|65|97||Connecticut
Dec 22, 2018|L|64|82||Temple
Dec 28, 2018|L|83|93||Northeastern
Dec 30, 2018|L|75|89||Hofstra
Jan 3, 2019|W|79|65||Elon
Jan 5, 2019|L|66|84||William &amp; Mary
Jan 10, 2019|W|79|78||Charleston
Jan 12, 2019|L|83|97||UNC-Wilm.
Jan 17, 2019|W|72|66||Towson
Jan 19, 2019|W|73|68||James Madison
Jan 26, 2019|L|75|76||Delaware
Jan 31, 2019|L|69|75||William &amp; Mary
Feb 2, 2019|W|67|63||Elon
Feb 7, 2019|W|69|57||UNC-Wilm.
Feb 9, 2019|L|84|86||Charleston
Feb 14, 2019|L|69|71||James Madison
Feb 16, 2019|L|77|92||Towson

Total Points For:|2153
Total Points Against:|2172
Average Points For:|76.8928571429
Average Points Against:|77.5714285714
Average Point Difference:|-0.678571428571

Win Percentage:|42.8571428571
