Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|76|89||W. Michigan
Nov 9, 2018|L|67|83||Temple
Nov 12, 2018|L|63|84||Butler
Nov 19, 2018|W|91|63||California
Nov 20, 2018|W|82|67||Loyola-Md.
Nov 24, 2018|W|78|74||Bowling Green
Nov 28, 2018|L|72|76||E. Michigan
Dec 1, 2018|L|59|71||Kent St.
Dec 4, 2018|L|59|98||Akron
Dec 5, 2018|L|57|101||Dayton
Dec 15, 2018|L|61|63||Toledo
Dec 21, 2018|L|55|69||Ohio
Dec 28, 2018|W|78|66||Xavier
Dec 30, 2018|W|73|61||Youngstown St.
Jan 3, 2019|W|79|58||Clev. St.
Jan 5, 2019|L|73|95||Wright St.
Jan 10, 2019|W|101|83||N. Kentucky
Jan 12, 2019|W|93|84||Green Bay
Jan 19, 2019|L|73|79||Milwaukee
Jan 24, 2019|L|67|79||Oakland
Jan 26, 2019|L|65|80||Ill.-Chicago
Jan 31, 2019|W|78|64||IUPUI
Feb 2, 2019|L|70|72||Clev. St.
Feb 7, 2019|L|65|97||Youngstown St.
Feb 9, 2019|L|60|83||N. Kentucky
Feb 14, 2019|W|90|84||Wright St.
Feb 16, 2019|L|73|82||Milwaukee

Total Points For:|1958
Total Points Against:|2105
Average Points For:|72.5185185185
Average Points Against:|77.962962963
Average Point Difference:|-5.44444444444

Win Percentage:|37.037037037
