Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|84|70||William &amp; Mary
Nov 12, 2018|W|89|88 |OT|Ill.-Chicago
Nov 17, 2018|W|69|64||Radford
Nov 20, 2018|L|56|67||Notre Dame
Nov 25, 2018|W|83|71||UMass Lowell
Nov 30, 2018|L|53|74||Pittsburgh
Dec 5, 2018|W|93|82||Marshall
Dec 9, 2018|W|80|71||Longwood
Dec 13, 2018|W|72|57||Md.-E. Shore
Dec 16, 2018|W|72|46||Maine
Dec 19, 2018|L|67|73||Penn St.
Dec 22, 2018|W|85|84 |OT|E. Kentucky
Dec 31, 2018|L|67|78||N.J. Tech
Jan 5, 2019|L|61|65||Davidson
Jan 9, 2019|W|66|61||Fordham
Jan 12, 2019|W|85|84||Saint Joseph&#039;s
Jan 16, 2019|W|74|68||Richmond
Jan 20, 2019|W|91|85 |OT|George Wash.
Jan 23, 2019|W|77|73||Saint Louis
Jan 26, 2019|L|74|80||VCU
Jan 30, 2019|W|75|72||Rhode Island
Feb 2, 2019|L|64|68||Dayton
Feb 6, 2019|L|49|51||St. Bona.
Feb 9, 2019|W|74|66||Fordham
Feb 13, 2019|L|72|73||La Salle
Feb 16, 2019|W|85|69||George Wash.

Total Points For:|1917
Total Points Against:|1840
Average Points For:|73.7307692308
Average Points Against:|70.7692307692
Average Point Difference:|2.96153846154

Win Percentage:|65.3846153846
