Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|81|56||Delaware St.
Nov 9, 2018|L|72|73||James Madison
Nov 11, 2018|W|84|78 |OT|Lamar
Nov 16, 2018|L|54|79||Georgia Tech
Nov 19, 2018|W|69|64||UT-Rio Grande Valley
Nov 21, 2018|W|76|64||Prairie View
Nov 24, 2018|L|52|55||High Point
Nov 27, 2018|L|86|95||UNC-Wilm.
Nov 30, 2018|W|83|81||App. St.
Dec 2, 2018|W|70|47||Md.-E. Shore
Dec 18, 2018|L|49|55||Charlotte
Dec 28, 2018|W|77|57||NC A&amp;T
Jan 2, 2019|L|54|82||SMU
Jan 5, 2019|W|73|71||Cincinnati
Jan 10, 2019|L|72|78||Memphis
Jan 13, 2019|L|65|76||UCF
Jan 16, 2019|L|74|85||Temple
Jan 23, 2019|L|50|94||Houston
Jan 26, 2019|L|57|77||South Florida
Jan 31, 2019|W|66|65||Tulane
Feb 3, 2019|L|52|76||Connecticut
Feb 6, 2019|L|49|65||Wichita St.
Feb 10, 2019|L|68 |72|OT|South Florida
Feb 13, 2019|L|69|79||Memphis
Feb 17, 2019|L|73 |77|OT|Tulsa

Total Points For:|1675
Total Points Against:|1801
Average Points For:|67.0
Average Points Against:|72.04
Average Point Difference:|-5.04

Win Percentage:|36.0
