Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|59|71||Texas
Nov 10, 2018|L|65|71||IUPUI
Nov 17, 2018|W|68|66 |OT|W. Illinois
Nov 23, 2018|W|79|78||Gardner-Webb
Nov 24, 2018|W|90|86 |OT|Arkansas St.
Nov 25, 2018|L|65|82||UNC-Wilm.
Nov 28, 2018|L|60|104||PFW
Dec 1, 2018|L|72|80||Chicago St.
Dec 4, 2018|W|90|37||
Dec 8, 2018|W|76|65||W. Illinois
Dec 15, 2018|W|73|66||Bradley
Dec 21, 2018|L|53|101||Iowa St.
Dec 30, 2018|W|81|70||N. Alabama
Jan 3, 2019|W|92|87 |OT|UT Martin
Jan 5, 2019|W|84|81 |OT|SIUE
Jan 10, 2019|L|62|69||Jax. State
Jan 12, 2019|W|67|60||Tenn. Tech
Jan 17, 2019|L|61|83||Murray St.
Jan 19, 2019|W|85|83||Austin Peay
Jan 24, 2019|W|66|64||UT Martin
Jan 26, 2019|L|59|64||SE Missouri St.
Jan 31, 2019|W|67|66||E. Kentucky
Feb 2, 2019|L|78|84||Morehead St.
Feb 7, 2019|L|75|86||Murray St.
Feb 9, 2019|L|86|94||Austin Peay
Feb 14, 2019|W|79|65||SIUE
Feb 16, 2019|L|79|88||SE Missouri St.

Total Points For:|1971
Total Points Against:|2051
Average Points For:|73.0
Average Points Against:|75.962962963
Average Point Difference:|-2.96296296296

Win Percentage:|51.8518518519
