Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|77|105||Marshall
Nov 10, 2018|W|81|78||Chattanooga
Nov 13, 2018|W|107|52||Midway
Nov 16, 2018|L|68|95||Kansas St.
Nov 17, 2018|L|85|90||Northern Iowa
Nov 19, 2018|W|100|81||Kennesaw St.
Nov 28, 2018|L|67|95||Tennessee
Dec 1, 2018|W|70|69||High Point
Dec 5, 2018|W|79|77||SC Upstate
Dec 8, 2018|W|76|74||N. Kentucky
Dec 15, 2018|L|77|95||Xavier
Dec 22, 2018|L|84 |85|OT|Duquesne
Dec 29, 2018|W|145|72||
Jan 3, 2019|L|75|93||Austin Peay
Jan 5, 2019|L|85|97||Murray St.
Jan 10, 2019|L|81|82||Tennessee St.
Jan 12, 2019|L|93|109||Belmont
Jan 17, 2019|W|97|73||UT Martin
Jan 19, 2019|W|85|83||SE Missouri St.
Jan 24, 2019|W|88|70||Jax. State
Jan 26, 2019|L|85|91||Tenn. Tech
Jan 31, 2019|L|66|67||E. Illinois
Feb 2, 2019|L|82 |88|OT|SIUE
Feb 7, 2019|L|65|83||Belmont
Feb 9, 2019|W|75|65||Tennessee St.
Feb 14, 2019|L|72|78||Morehead St.
Feb 16, 2019|L|70|102||Murray St.

Total Points For:|2235
Total Points Against:|2249
Average Points For:|82.7777777778
Average Points Against:|83.2962962963
Average Point Difference:|-0.518518518519

Win Percentage:|40.7407407407
