Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|62|56||Manhattan
Nov 9, 2018|L|67|116||North Carolina
Nov 15, 2018|W|98|71||
Nov 22, 2018|L|56|72||Abil Christian
Nov 23, 2018|L|64|77||UC Riverside
Nov 24, 2018|L|57|65||Pacific
Nov 27, 2018|W|92|59||
Dec 1, 2018|L|58|65||Boston U.
Dec 4, 2018|L|77|98||Furman
Dec 7, 2018|L|74|75||UNC-Green.
Dec 16, 2018|L|91|92||Canisius
Dec 18, 2018|W|76|67||Kennesaw St.
Dec 22, 2018|L|59|95||UMKC
Dec 28, 2018|L|60|77||Towson
Dec 30, 2018|W|68|65||James Madison
Jan 3, 2019|L|65|79||Drexel
Jan 5, 2019|L|65|77||Delaware
Jan 10, 2019|L|70 |81|OT|Northeastern
Jan 12, 2019|L|71|74||Hofstra
Jan 19, 2019|W|76|71||William &amp; Mary
Jan 24, 2019|L|53|72||Charleston
Jan 26, 2019|W|89|82||UNC-Wilm.
Jan 31, 2019|W|57|56||Delaware
Feb 2, 2019|L|63|67||Drexel
Feb 7, 2019|L|61|102||Hofstra
Feb 9, 2019|L|60 |72|OT|Northeastern
Feb 16, 2019|L|74|84||William &amp; Mary

Total Points For:|1863
Total Points Against:|2067
Average Points For:|69.0
Average Points Against:|76.5555555556
Average Point Difference:|-7.55555555556

Win Percentage:|29.6296296296
