Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|77|67||
Nov 9, 2018|W|66|62||Drexel
Nov 11, 2018|W|97|74||Goshen
Nov 14, 2018|L|46|84||Duke
Nov 17, 2018|W|80|62||Boston U.
Nov 19, 2018|L|36|63||Rutgers
Nov 24, 2018|L|74|78||Detroit
Nov 26, 2018|L|69|87||TCU
Dec 1, 2018|L|67|81||Northeastern
Dec 8, 2018|W|105|53||
Dec 19, 2018|L|48|52||UC Irvine
Dec 22, 2018|W|90|72||
Dec 29, 2018|L|63|87||Kansas
Jan 4, 2019|L|58|74||Buffalo
Jan 8, 2019|W|84|82 |OT|Ball St.
Jan 12, 2019|W|95|61||Kent St.
Jan 15, 2019|L|49|51||Akron
Jan 18, 2019|L|65|77||Buffalo
Jan 22, 2019|L|67|80||Bowling Green
Jan 26, 2019|W|93|67||W. Michigan
Jan 29, 2019|L|82|86||C. Michigan
Feb 2, 2019|L|48|59||Miami (Ohio)
Feb 9, 2019|W|57|49||N. Illinois
Feb 12, 2019|W|66|57||Ohio
Feb 16, 2019|L|58|71||Kent St.

Total Points For:|1740
Total Points Against:|1736
Average Points For:|69.6
Average Points Against:|69.44
Average Point Difference:|0.16

Win Percentage:|44.0
