Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|68|74||Georgia St.
Nov 8, 2018|W|109|44||
Nov 11, 2018|L|69|75||Creighton
Nov 17, 2018|W|76|74||Winthrop
Nov 19, 2018|W|86|61||Chicago St.
Nov 20, 2018|W|77|63||Sam Houston
Nov 24, 2018|W|79|61||N. Dakota St.
Nov 27, 2018|W|69|64||Ga. Southern
Dec 1, 2018|L|62|79||Wofford
Dec 3, 2018|W|107|60||
Dec 8, 2018|W|80|62||UT Martin
Dec 15, 2018|L|55|73||Illinois
Dec 21, 2018|W|76|53||Wyoming
Dec 22, 2018|W|89|61||Norfolk St.
Dec 29, 2018|W|79|56||Furman
Jan 3, 2019|W|81|72 |OT|Samford
Jan 5, 2019|W|96|70||Chattanooga
Jan 10, 2019|W|98|73||The Citadel
Jan 12, 2019|W|72|68 |OT|Mercer
Jan 17, 2019|W|85|82||VMI
Jan 19, 2019|L|68|75||UNC-Green.
Jan 26, 2019|W|91|69||W. Carolina
Jan 31, 2019|W|74|66||Samford
Feb 2, 2019|W|77|64||Chattanooga
Feb 7, 2019|L|76 |78|OT|Wofford
Feb 9, 2019|L|61|91||Furman
Feb 14, 2019|W|91|83||The Citadel
Feb 16, 2019|W|88|69||Mercer

Total Points For:|2239
Total Points Against:|1920
Average Points For:|79.9642857143
Average Points Against:|68.5714285714
Average Point Difference:|11.3928571429

Win Percentage:|75.0
