Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|L|60|99||Illinois
Nov 10, 2018|L|85|91||Xavier
Nov 15, 2018|W|92|72||KY. Wesleyan
Nov 18, 2018|W|85|63||Texas So.
Nov 24, 2018|L|72|82||Ball St.
Nov 28, 2018|W|86|78||Wyoming
Dec 1, 2018|W|65|49||Albion
Dec 4, 2018|L|77|87||Arkansas St.
Dec 9, 2018|W|89|77||Ball St.
Dec 15, 2018|L|50|55||Jax. State
Dec 18, 2018|L|64|66||Murray St.
Dec 22, 2018|W|80|75||Green Bay
Dec 30, 2018|L|67|70||Miami (Ohio)
Jan 2, 2019|W|82|77 |OT|Drake
Jan 5, 2019|L|46|58||Illinois St.
Jan 8, 2019|W|67|48||Loyola-Chi.
Jan 12, 2019|L|66 |72|OT|Indiana St.
Jan 16, 2019|W|70|64||Missouri St.
Jan 19, 2019|L|70|78||Illinois St.
Jan 23, 2019|L|66|78||Drake
Jan 26, 2019|L|74|81||Northern Iowa
Jan 30, 2019|L|73|81||Bradley
Feb 2, 2019|W|64|53||Valparaiso
Feb 6, 2019|L|62|85||Indiana St.
Feb 9, 2019|L|73|78||S. Illinois
Feb 13, 2019|L|56|68||Missouri St.
Feb 17, 2019|L|58|73||Northern Iowa

Total Points For:|1899
Total Points Against:|1958
Average Points For:|70.3333333333
Average Points Against:|72.5185185185
Average Point Difference:|-2.18518518519

Win Percentage:|37.037037037
